"","Segment","RESPID","Q1_1_When buying a boat  I do a lot of shopping around and visit multiple dealers","Q1_2_When buying a boat  getting the lowest price is more important than the boat brand","Q1_3_The brand of boat I buy says a lot about who I am","Q1_4_I only consider buying a boat from a reputable brand","Q1_5_I am willing to pay a premium for a brand with a reputation for high quality","Q1_6_Owning a boat is a way of rewarding myself for my hard work","Q1_7_Owning a boat gives me a sense of achievement","Q1_8_When buying a boat  functionality is more important than style","Q1_9_I see my boat as a status symbol","Q1_10_When buying a boat  I rely more on expert opinion than my own  e g  consumer reports  salespeople ","Q1_11_I tend to perform minor boat repairs and maintenance on my own","Q1_12_When it comes to boating  I tend to prefer a basic boat with little to no frills","Q1_13_When buying a boat  I tend to buy the latest and greatest","Q1_14_When buying accessories for my boat  I tend to buy the latest and greatest","Q1_15_I am serious about the technology on my boat","Q1_16_People tend to come to me for advice about boating","Q1_17_I consider myself more knowledgeable about boating than the rest of my boating peers","Q1_18_Boating gives me a feeling of adventure","Q1_19_Boating allows me to experience nature","Q1_20_When not on my boat  I often find myself doing boating related activities","Q1_21_Boating helps me escape from everyday life and relax","Q1_22_Boating helps me stay active","Q1_23_Boating allows me to excel in the sports that I am passionate about   e g  fishing  racing  water sports ","Q1_24_Boating gives me an outlet to socialize with family and or friends","Q1_25_Being in charge of my boat is very important to me","Q1_26_Having a powerful boat is what is most important to me","Q1_27_Boating is the number one thing I do with my spare time","Q1_28_Boating is my true passion in life","Q1_29_Boating is one of many things I do in my spare time","Q2_How many powerboats do you currently own ","Q2_Cluster_Own a boat ","Q3_How likely would you be to purchase a new boat in the future ","Q4_Approximately how much did you pay for your current Boat ","Q5_What is the horse power of your engine brand current boat engine   the boat you want to buy ","Q6_Length of Boat  in Feet ","Q7_1_I normally boat alone","Q7_2_I boat with my spouse or significant other","Q7_3_I boat with my family  including kids","Q7_4_I boat with my friends","Q8_How would you rate your experience regarding boating ","Q9_1_Fishing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_2_Swimming   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_3_Cruising   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_4_Water Sports   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_5_Entertaining socializing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q10_During your boating season  how many days out of the year do you typically use your boat","Q11_Gender","Q12_HOUSEHOLD income","Q13_Are you now married  widowed  divorced  separated  never married  or living with a partner ","Q14_Current Employment Status","Q15_Age in cluster","Q16_Name of the Brand rated","Q16_1_Is a brand that has been around for a long time","Q16_2_Has best in class customer service","Q16_3_Has a strong dealer network","Q16_4_Is a leader in cutting edge technology","Q16_5_Is a leader in safety","Q16_6_Is known for its innovative products","Q16_7_Is a brand for people who are serious about boating","Q16_8_Is a good brand for people that are new to boating","Q16_9_Is a brand I see in the water all the time","Q16_10_Offers boats that provide a fast and powerful boating experience","Q16_11_Offers the best boats for socializing","Q16_12_Offers the best boats for water sports  e g   tubing  ski  wakeboard ","Q16_13_Offers boats with superior interior style","Q16_14_Offers boats with superior exterior style","Q16_15_Offers boats that stand out from the crowd","Q16_16_Offers boats that look cool","Q16_17_Offers boats that can handle rough weather or choppy water","Q16_18_Offers boats that can handle frequent and heavy usage","Q16_19_Offers a wide breadth of product offerings and accessories","Q16_20_Offers boats that I can move around safely","Q16_21_Offers boats that are easy to maintain and or repair","Q16_22_Offers boats that are easy to use","Q16_23_Offers boats that are easy to clean up","Q16_24_Has low prices","Q16_25_Is a brand that gives me peace of mind","Q16_26_Makes me feel I made a smart decision","Q16_27_Is a brand that impresses others","Q17_Recommend","Q18_PurchaseFuture"
"12",3,489191,5,5,4,4,5,4,4,4,5,5,4,3,3,5,5,4,3,4,3,4,4,5,5,3,5,5,5,4,5,0,0,5,8,8,60,5,5,3,3,2,4,2,4,2,4,150,2,19,5,2,3,30,4,5,4,5,4,5,3,4,5,5,4,4,4,4,5,5,5,4,4,5,4,5,4,5,4,4,4,0,1
"13",3,226965,4,3,4,4,3,3,4,5,3,4,4,4,3,4,4,3,3,3,4,4,5,4,4,4,3,4,3,2,4,1,1,4,7,8,20,3,4,3,3,2,3,4,3,4,4,25,1,19,1,2,1,5,4,5,4,4,4,5,4,4,5,4,4,4,4,3,4,3,3,3,4,3,3,4,3,3,4,3,4,0,1
"14",1,229147,4,4,3,4,4,4,4,3,3,3,3,1,3,4,4,2,3,4,4,3,4,3,4,3,4,4,4,3,4,1,1,5,4,8,18,1,5,3,3,1,5,2,3,3,2,21,2,16,1,1,3,50,2,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,0,1
"15",3,16919,4,5,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,5,4,5,5,10,1,5,6,8,89,5,4,5,4,3,5,4,4,4,4,200,1,13,1,1,1,24,5,4,4,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,4,5,4,5,4,4,4,5,5,1,0
"16",3,422979,5,5,4,3,4,4,5,4,4,4,3,4,2,5,4,4,3,5,4,5,5,4,4,4,5,4,4,4,5,6,1,2,4,8,90,2,4,3,3,1,3,5,3,3,4,12,1,11,3,2,2,3,4,4,4,4,4,3,4,4,3,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,4,5,5,0,0
"17",3,2404,4,3,4,2,3,4,3,3,3,4,4,3,3,3,4,3,3,3,3,4,4,2,2,4,3,4,5,4,3,2,1,5,10,8,5,4,4,3,5,3,4,3,3,4,3,5,1,16,5,1,1,9,5,4,4,4,4,5,3,5,3,4,4,3,3,3,5,3,5,5,4,4,5,3,5,3,4,5,5,0,0
"18",2,19244,3,5,3,5,4,4,3,3,1,3,3,4,5,3,3,4,4,3,3,4,4,4,5,3,3,5,4,3,4,0,0,5,7,8,90,2,5,5,3,1,5,5,5,5,5,250,1,18,1,1,2,10,4,5,5,4,5,5,5,5,4,4,4,2,5,3,4,5,4,5,5,4,5,4,5,4,5,4,4,1,0
"19",3,21508,4,4,5,4,5,5,4,5,4,4,4,4,4,5,4,5,5,5,5,5,4,4,4,5,4,5,5,5,4,1,1,5,5,8,24,4,4,4,4,3,1,4,4,4,4,20,1,18,1,1,1,5,4,4,5,4,5,5,5,4,5,4,5,4,4,4,5,5,4,5,5,4,4,4,4,4,5,4,4,0,0
"20",1,12142,5,2,3,5,5,5,4,4,4,4,3,4,5,5,5,4,5,4,3,5,4,4,5,5,4,5,5,3,5,2,1,4,9,8,57,1,2,5,3,4,3,5,5,4,4,27,2,19,1,1,2,39,4,5,4,3,4,4,3,5,4,5,3,5,5,3,5,3,5,5,4,5,4,5,5,4,4,3,4,1,0
"21",3,18540,4,3,5,4,5,5,4,4,4,5,4,4,3,4,4,4,3,5,4,4,5,4,5,4,5,5,4,4,4,1,1,4,7,8,24,1,5,5,3,2,3,3,2,3,4,30,2,17,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,0,0
"22",2,9947,4,2,2,4,3,4,4,4,1,2,4,3,4,2,3,4,4,2,4,4,5,4,3,4,4,5,3,5,4,1,1,4,4,8,24,2,4,5,4,3,4,3,4,3,4,30,2,16,3,1,4,3,5,4,4,4,4,4,4,5,3,4,5,2,5,3,3,3,4,4,4,5,4,5,4,3,4,3,3,1,0
"23",3,9830,5,5,4,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,1,1,4,4,8,22,1,3,3,4,2,4,4,4,3,4,20,2,17,1,1,1,9,3,3,4,3,3,4,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3,4,3,4,4,3,3,0,0
"24",3,225890,5,2,5,4,5,5,5,2,5,5,4,2,4,5,5,5,4,5,4,4,5,5,5,4,5,5,5,5,5,4,1,5,7,7,20,1,5,5,5,3,3,4,5,5,4,60,1,16,1,1,3,13,4,3,5,4,5,5,5,5,4,5,3,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,1,1
"25",3,232633,4,2,5,4,3,5,5,4,5,5,4,2,3,4,4,4,3,5,5,3,5,5,4,4,5,5,5,5,5,1,1,5,3,7,19,2,5,5,4,3,3,5,5,5,5,22,2,18,1,1,2,54,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,0,1
"26",2,226124,5,1,3,4,4,5,4,4,3,4,3,2,3,4,4,2,4,4,5,4,5,5,5,4,4,3,5,5,5,1,1,4,5,7,32,1,5,4,3,4,3,3,3,4,4,110,2,14,3,1,4,39,2,5,5,5,5,5,5,5,5,5,3,4,5,5,5,3,4,5,5,5,5,3,5,5,5,5,5,1,1
"27",1,225038,4,3,3,4,4,4,4,3,3,4,3,2,4,4,4,3,3,4,4,3,4,3,4,4,4,3,3,3,4,1,1,4,6,7,32,2,4,4,4,3,2,4,4,3,4,100,1,17,1,1,2,39,3,3,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,0,1
"28",1,15078,5,3,5,5,5,5,5,3,5,3,3,2,5,5,4,5,4,5,5,3,5,4,5,4,4,4,5,5,4,3,1,5,6,7,37,2,5,5,3,3,3,4,5,4,5,80,1,16,1,1,1,39,5,4,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,0,0
"29",3,20229,5,3,4,4,5,5,5,4,3,4,5,2,3,4,5,3,3,4,5,4,5,5,5,5,5,4,4,5,4,1,1,4,6,7,38,2,5,5,4,2,5,4,5,3,5,150,1,13,1,1,1,18,5,3,4,4,4,4,5,3,5,5,3,3,4,4,5,5,5,5,4,4,4,4,4,2,5,5,5,1,0
"30",3,5671,4,3,4,4,4,5,5,3,4,3,5,2,4,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,1,1,4,4,7,20,2,4,5,3,3,3,5,4,4,5,45,1,15,1,1,2,44,3,3,4,4,4,4,5,5,4,3,4,4,5,4,5,4,4,4,5,5,4,5,4,4,4,4,5,1,0
"31",3,1238,5,4,5,4,5,5,5,4,4,3,5,2,5,4,4,4,5,5,5,5,4,5,5,5,5,4,5,4,4,2,1,5,4,7,40,3,3,5,4,3,4,5,5,4,4,30,1,12,5,1,1,18,4,5,4,5,4,4,3,5,5,4,4,4,4,5,4,5,4,5,5,5,5,5,4,4,5,4,4,0,0
"32",1,3404,5,3,3,4,4,4,4,3,3,4,2,4,4,5,4,3,4,4,5,3,4,4,4,4,4,4,4,4,4,1,1,4,4,7,38,2,5,3,4,2,4,4,3,3,3,60,2,14,6,1,1,39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,5,4,4,0,0
"33",2,8527,5,2,4,5,4,4,4,3,3,3,5,2,4,4,4,4,5,5,5,4,5,4,3,5,5,4,4,4,5,1,1,4,6,7,36,1,5,4,4,3,4,3,5,2,4,45,1,15,1,2,3,24,5,4,5,4,4,4,5,3,5,5,4,3,4,5,4,4,4,5,5,4,4,4,4,2,4,4,4,0,0
"34",3,463,4,3,4,3,4,5,5,4,4,4,4,2,4,4,5,4,4,5,4,4,5,4,5,5,5,4,4,4,4,0,0,4,8,7,36,3,5,5,4,4,5,4,5,4,5,50,1,19,1,1,3,10,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,4,4,0,0
"35",3,4502,5,4,5,3,4,5,5,4,4,5,3,1,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,1,1,5,5,7,20,2,5,5,4,3,4,5,5,5,5,42,2,13,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,3,0,0
"36",2,233106,4,2,3,4,4,4,3,4,3,1,5,2,2,3,4,4,3,4,3,4,5,5,4,5,5,5,3,3,4,1,1,4,4,7,20,1,3,3,5,4,1,2,2,5,2,40,1,14,1,5,4,26,5,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,2,0,0
"37",3,473192,4,4,3,4,3,4,4,4,3,3,4,2,3,3,4,3,3,4,4,3,4,4,3,4,3,3,3,3,4,1,1,3,4,7,32,3,4,4,4,2,3,3,4,4,4,40,1,13,1,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1
"38",3,421922,3,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,5,3,5,4,4,4,3,3,4,4,4,1,1,3,6,7,20,1,5,5,2,3,5,3,4,3,3,23,1,16,1,4,4,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,3,4,3,0,1
"39",3,21898,4,5,4,5,4,5,4,4,5,4,5,5,4,5,4,4,4,5,5,5,5,4,4,5,4,4,4,4,5,0,0,4,3,7,40,1,5,2,5,3,4,4,4,4,4,90,2,13,1,1,1,23,4,4,3,3,4,3,3,4,4,3,5,4,4,5,4,4,4,3,4,4,3,4,5,4,4,3,4,0,0
"40",1,220191,4,3,3,4,3,4,4,4,3,3,2,2,3,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,1,1,4,6,7,8,2,4,4,3,2,3,4,4,4,4,40,2,13,1,1,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,1
"41",1,239673,5,3,3,4,4,3,4,3,4,2,2,3,3,4,3,2,3,4,4,3,4,4,4,4,3,4,3,4,4,1,1,4,5,7,40,2,4,4,4,2,3,3,3,3,4,90,2,19,1,1,3,28,2,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3,4,4,3,4,4,4,4,2,4,3,3,0,1
"42",1,7162,5,3,3,5,5,3,5,2,4,5,3,4,4,5,5,4,5,5,5,5,5,5,3,5,5,3,2,4,5,1,1,5,6,7,15,5,4,5,5,1,4,3,4,4,5,60,2,16,1,1,1,26,3,4,3,4,4,4,5,5,4,4,4,4,3,4,3,3,3,4,3,5,2,3,4,5,3,4,5,1,0
"43",3,225761,4,4,3,4,2,4,4,4,3,3,5,2,2,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,1,5,6,7,31,2,5,3,4,4,4,3,2,2,4,30,1,17,1,5,4,18,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,5,5,3,4,3,3,3,3,3,3,4,0,1
"44",2,228711,4,2,2,4,4,3,3,4,2,4,4,2,2,2,4,3,3,4,4,3,4,4,3,4,3,3,3,2,4,1,1,4,4,7,24,1,4,4,3,3,3,4,4,3,3,22,1,13,1,1,4,3,2,3,4,4,2,3,2,4,4,4,2,4,4,3,4,3,4,4,4,4,4,4,4,5,3,4,4,0,1
"45",2,225948,5,3,3,4,3,4,4,5,2,3,4,2,3,3,4,4,4,5,4,5,5,5,3,5,4,3,4,4,5,0,0,4,4,7,32,2,5,3,4,3,2,3,5,5,4,100,2,19,1,1,3,39,4,4,3,4,4,4,4,4,5,4,3,4,4,4,3,4,4,4,5,4,4,5,4,3,4,4,3,0,1
"46",2,1613,5,3,3,4,4,5,5,4,2,4,4,3,2,2,3,5,4,5,5,4,5,4,4,4,5,2,2,3,4,1,1,3,4,7,35,4,4,1,3,3,5,3,4,3,3,20,1,19,1,1,1,31,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,0,0
"47",3,7903,4,4,5,4,4,5,5,5,4,5,4,4,4,4,4,4,5,4,4,3,4,4,3,4,3,4,4,4,5,1,1,5,1,7,60,4,5,5,5,2,5,5,5,5,3,6,2,1,1,2,2,6,4,5,4,5,5,4,5,4,4,5,5,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,1,0
"48",3,10465,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,4,10,1,5,5,7,20,5,5,4,5,2,4,5,3,4,4,5,1,13,5,1,1,7,5,5,4,4,4,5,5,4,5,5,4,2,5,5,4,4,4,5,4,4,5,4,4,5,4,4,5,1,0
"49",3,4594,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,4,4,4,5,4,4,5,5,2,1,4,2,7,6,1,5,5,4,3,5,5,5,5,5,200,2,18,1,2,1,3,4,4,4,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,0,0
"50",3,145,4,5,2,1,3,2,3,4,2,1,5,2,3,4,5,1,3,3,5,4,2,2,2,2,4,4,4,2,4,1,1,5,6,7,36,5,1,1,3,4,4,4,4,4,3,25,1,13,5,2,3,3,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,1,0
"51",3,3391,4,4,3,5,5,3,3,3,4,3,3,3,3,5,4,4,5,3,5,3,3,3,3,3,3,5,5,3,5,1,1,5,7,7,20,4,4,4,4,1,4,4,4,4,4,6,1,17,6,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0
"52",3,8743,4,4,4,4,3,3,5,4,4,4,4,3,5,3,4,3,3,3,2,2,3,4,4,3,5,4,3,5,4,2,1,4,4,7,5,3,4,3,4,4,4,3,4,5,3,5,1,10,5,1,1,21,3,3,3,4,4,4,4,5,3,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,5,4,0,0
"53",3,233426,4,3,1,3,4,5,3,4,4,3,3,4,4,2,4,4,3,3,4,3,4,3,3,3,4,3,3,3,4,2,1,4,10,7,20,1,3,3,3,2,2,4,1,4,2,45,1,19,1,1,2,3,3,3,4,3,4,3,4,2,3,3,3,4,4,4,3,3,4,3,4,3,4,4,3,3,4,3,3,0,0
"54",3,17465,4,4,2,4,3,4,4,3,3,4,2,3,2,3,3,3,3,1,3,3,2,3,2,2,4,3,2,3,2,1,1,5,7,7,31,3,4,2,3,2,4,3,3,3,3,170,1,16,1,1,2,8,4,3,4,4,3,3,4,3,4,4,4,4,3,2,3,2,4,4,2,3,4,4,3,3,4,2,3,0,0
"55",3,1819,4,3,3,3,3,4,3,4,4,3,3,4,4,4,4,4,3,3,3,4,4,5,3,4,3,3,4,3,3,1,1,5,5,7,31,3,4,4,4,2,3,3,5,4,5,44,1,19,1,1,2,45,3,5,4,4,5,4,4,3,3,4,4,3,4,3,5,3,3,4,4,3,3,4,4,5,3,4,3,0,0
"56",2,222388,5,2,2,5,4,3,2,2,2,5,4,2,5,5,3,4,4,5,5,4,5,5,4,5,5,3,3,3,2,1,1,4,4,6,25,2,5,5,5,3,5,5,5,5,5,50,2,16,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
"57",3,470670,4,1,3,4,4,5,5,5,3,2,5,1,3,3,4,4,4,5,5,4,5,4,5,5,4,4,4,5,4,1,1,4,4,6,20,1,5,3,3,3,5,4,3,3,3,30,2,13,1,1,1,3,5,5,3,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,0,1
"58",1,421453,4,2,4,4,5,4,4,3,4,4,3,2,4,4,5,4,4,5,4,3,4,4,5,5,5,4,4,4,4,1,1,5,4,6,23,3,5,4,4,2,3,2,4,3,4,40,1,19,1,1,2,54,4,4,5,5,5,5,5,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,1,1
"59",1,476425,3,2,3,4,3,3,4,3,3,3,2,2,4,3,5,3,3,5,5,4,5,4,4,5,4,4,4,4,4,0,0,5,11,6,40,1,5,5,3,2,5,5,5,5,5,90,2,1,1,2,1,39,4,3,5,5,5,5,4,5,5,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1
"60",1,228193,4,2,4,4,4,5,5,3,4,2,3,1,4,4,4,5,4,5,5,4,5,4,5,4,4,4,5,5,5,1,1,5,3,6,20,3,5,4,4,3,5,4,5,2,4,30,2,13,6,1,1,41,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,1
