"","Segment 1","Segment 2","Segment 3"
"Q9_1_Fishing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities",0.922427601500898,1.02167968781551,1.04284644205907
"Q9_2_Swimming   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities",0.978417913081855,0.966212271588259,1.03638165336823
"Q9_3_Cruising   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities",1.02085547755277,0.951350857611285,1.01478519973133
"Q9_4_Water Sports   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities",0.98211541784195,0.959250364804307,1.03798125641669
"Q9_5_Entertaining socializing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities",1.01955284074351,0.930296479659966,1.02866199272127
"Q10_During your boating season  how many days out of the year do you typically use your boat",0.968648047740412,1.04023881038973,0.997980938936067
"Q11_Gender",1.11959142537482,0.942285015025742,0.948867200660436
"Q12_HOUSEHOLD income",1.02476471040929,1.02040162771506,0.969537102537053
"Q13_Are you now married  widowed  divorced  separated  never married  or living with a partner ",0.994705652311881,0.889526054146616,1.07169710957772
"Q14_Current Employment Status",1.06843847194306,1.06710779739726,0.909224795229445
"Q15_Age in cluster",1.02059276125658,1.14386299421411,0.896715671006892
"Q16_Name of the Brand rated",1.06335982474045,1.00339149592327,0.952042624408788
"Q16_1_Is a brand that has been around for a long time",0.974346443215178,0.978253009418616,1.03193289609245
"Q16_2_Has best in class customer service",0.967112706370983,0.993907650026989,1.02755368194591
"Q16_3_Has a strong dealer network",0.970090843843911,0.993758446051961,1.02548909674111
"Q16_4_Is a leader in cutting edge technology",0.96925313153796,1.00548251764731,1.01889355102999
"Q16_5_Is a leader in safety",0.974214314077916,0.990871681003591,1.02427694112758
"Q16_6_Is known for its innovative products",0.976159446721211,1.00458036184027,1.01444741022931
"Q16_7_Is a brand for people who are serious about boating",0.97684801611045,1.00070693282858,1.01632830806939
"Q16_8_Is a good brand for people that are new to boating",0.976936885107549,1.00287575365428,1.01493166344207
"Q16_9_Is a brand I see in the water all the time",0.984855378554489,0.992276714849976,1.01570945386942
"Q16_10_Offers boats that provide a fast and powerful boating experience",0.983475202100561,1.0041436351402,1.00941891321845
"Q16_11_Offers the best boats for socializing",0.975300304730839,0.977193147471324,1.03189334879313
"Q16_12_Offers the best boats for water sports  e g   tubing  ski  wakeboard ",1.00032798104795,0.965781773888558,1.02078270789991
"Q16_13_Offers boats with superior interior style",0.988186362893155,0.974149641646227,1.02443316105029
"Q16_14_Offers boats with superior exterior style",0.978376219522149,0.990049573844506,1.02176864316302
"Q16_15_Offers boats that stand out from the crowd",0.979982149929026,1.00367323586057,1.01223692943546
"Q16_16_Offers boats that look cool",0.987828856018205,0.972750510476158,1.02555148725375
"Q16_17_Offers boats that can handle rough weather or choppy water",0.979350631966809,1.00072911580375,1.01450272899247
"Q16_18_Offers boats that can handle frequent and heavy usage",0.975805686959677,1.00407552235943,1.01501366220657
"Q16_19_Offers a wide breadth of product offerings and accessories",0.978422562274943,1.01156245836643,1.00851977682937
"Q16_20_Offers boats that I can move around safely",0.981458017090593,1.0068903803132,1.00919208317759
"Q16_21_Offers boats that are easy to maintain and or repair",0.981997232493005,1.00010814625158,1.01296798871045
"Q16_22_Offers boats that are easy to use",0.967951401085621,1.0155015861365,1.0136813445549
"Q16_23_Offers boats that are easy to clean up",0.973405101616198,1.00785112101934,1.01443240071405
"Q16_24_Has low prices",0.97946104976172,0.973792615545082,1.03096981111365
"Q16_25_Is a brand that gives me peace of mind",0.962115313243631,0.989577413308403,1.03383196486275
"Q16_26_Makes me feel I made a smart decision",0.978905235194047,0.998163082879804,1.01640151446202
"Q16_27_Is a brand that impresses others",0.975374062488222,0.969061704608967,1.03683507220842
"Q17_Recommend",0.850261187935872,1.0829519434365,1.0574572062413
"Q18_PurchaseFuture",1.05504028196557,1.10230889952301,0.897301444439306
