"","V1"
"482",1
"483",1
"484",3
"485",1
"486",4
"487",2
"488",3
"489",1
"490",3
"491",4
"492",1
"493",2
"494",4
"495",4
"496",1
"497",3
"498",1
"499",3
"500",3
"501",1
"502",3
"503",4
"504",1
"505",4
"506",1
"507",3
"508",3
"509",4
"510",4
"511",1
"512",4
"513",4
"514",1
"515",4
"516",4
"517",4
"518",4
"519",4
"520",3
"521",4
"522",4
"523",4
"524",2
"525",3
"526",4
"527",5
"528",4
"529",4
"530",4
"531",4
"532",3
"533",4
"534",4
"535",2
"536",4
"537",2
"538",4
"539",3
"540",4
"541",3
"542",3
"543",4
"544",2
"545",2
"546",4
"547",4
"548",3
"549",4
"550",3
"551",4
"552",5
"553",3
"554",4
"555",3
"556",4
"557",3
"558",2
"559",2
"560",2
"561",2
"562",2
"563",2
"564",2
"565",2
"566",2
"567",3
"568",2
"569",4
"570",4
"571",2
"572",4
"573",2
"574",2
"575",1
"576",2
"577",2
"578",4
"579",4
"580",1
"581",4
"582",4
"583",4
"584",2
"585",4
"586",1
"587",4
"588",2
"589",2
"590",5
"591",2
"592",4
"593",1
"594",2
"595",2
"596",2
"597",2
"598",2
"599",4
"600",2
"601",2
"602",4
"603",2
"604",2
"605",2
"606",3
"607",2
"608",2
"609",3
"610",4
"611",1
"612",4
"613",2
"614",3
"615",4
"616",2
"617",2
"618",3
"619",2
"620",2
"621",2
"622",2
"623",2
"624",4
"625",2
"626",2
"627",2
"628",2
"629",2
"630",2
"631",2
"632",2
"633",2
"634",2
"635",3
"636",2
"637",1
"638",4
"639",4
"640",2
"641",4
"642",2
"643",2
"644",4
"645",5
"646",4
"647",2
"648",2
"649",2
"650",1
"651",2
"652",2
"653",1
"654",4
"655",4
"656",4
"657",2
"658",2
"659",4
"660",4
"661",5
"662",3
"663",4
"664",1
"665",2
"666",5
"667",4
"668",1
"669",3
"670",3
"671",4
"672",1
"673",1
"674",4
"675",4
"676",1
"677",2
"678",1
"679",4
"680",1
"681",1
"682",3
"683",3
"684",1
"685",1
"686",4
"687",3
"688",3
"689",4
"690",5
"691",2
"692",1
"693",1
"694",3
"695",1
"696",3
"697",3
"698",3
"699",3
"700",3
"701",3
"702",3
"703",4
"704",1
"705",1
"706",3
"707",3
"708",3
"709",1
"710",3
"711",1
"712",3
"713",1
"714",3
"715",3
"716",3
"717",1
"718",2
"719",4
"720",3
"721",1
"722",1
"723",4
"724",3
"725",3
"726",1
"727",3
"728",1
"729",4
"730",1
"731",4
"732",3
"733",3
"734",3
"735",3
"736",3
"737",3
"738",3
"739",3
"740",1
"741",3
"742",3
"743",1
"744",1
"745",3
"746",3
"747",3
"748",1
"749",5
"750",2
"751",2
"752",2
"753",1
"754",4
"755",1
"756",1
"757",4
"758",4
"759",4
"760",2
"761",4
"762",4
"763",4
"764",1
"765",1
"766",1
"767",4
"768",4
"769",1
"770",1
"771",4
"772",1
"773",2
"774",1
"775",1
"776",1
"777",1
"778",3
"779",1
"780",4
"781",3
"782",2
"783",3
"784",1
"785",2
"786",4
"787",1
"788",4
"789",1
"790",4
"791",4
"792",4
"793",2
"794",1
"795",4
"796",1
"797",4
"798",1
"799",5
"800",1
"801",3
"802",4
"803",1
"804",4
"805",2
"806",1
"807",4
"808",1
"809",4
"810",1
"811",4
"812",3
"813",1
"814",1
"815",3
"816",3
"817",2
"818",4
"819",4
"820",5
"821",4
"822",4
"823",4
"824",1
"825",1
"826",2
"827",1
"828",3
"829",2
"830",1
"831",4
"832",3
"833",4
"834",4
"835",4
"836",3
"837",3
"838",3
"839",4
"840",3
"841",1
"842",4
"843",4
"844",4
"845",2
"846",4
"847",4
"848",3
"849",2
"850",2
"851",2
"852",4
"853",4
"854",4
"855",4
"856",4
"857",2
"858",4
"859",4
"860",4
"861",4
"862",2
"863",4
"864",4
"865",4
"866",1
"867",5
"868",4
"869",2
"870",2
"871",4
"872",4
"873",4
"874",1
"875",3
"876",2
"877",2
"878",2
"879",2
"880",3
"881",3
"882",4
"883",4
"884",3
"885",4
"886",1
"887",4
"888",2
"889",1
"890",4
"891",3
"892",1
"893",3
"894",4
"895",5
"896",4
"897",4
"898",4
"899",2
"900",2
"901",3
"902",2
"903",2
"904",1
"905",4
"906",2
"907",2
"908",2
"909",5
"910",4
"911",3
"912",4
"913",3
"914",1
"915",1
"916",2
"917",3
"918",5
"919",3
"920",4
"921",2
"922",1
"923",4
"924",2
"925",1
"926",4
"927",1
"928",1
"929",4
"930",1
"931",4
"932",3
"933",4
"934",2
"935",1
"936",2
"937",2
"938",2
"939",2
"940",3
"941",2
"942",3
"943",4
"944",4
"945",2
"946",1
"947",4
"948",2
"949",2
"950",2
"951",3
"952",2
"953",2
"954",2
"955",3
"956",2
"957",2
"958",2
"959",4
"960",4
"961",4
"962",2
"963",5
"964",2
"965",1
"966",2
"967",1
"968",2
"969",2
"970",1
"971",1
"972",1
"973",4
"974",2
"975",3
"976",4
"977",4
"978",3
"979",4
"980",2
"981",1
"982",2
"983",4
"984",1
"985",4
"986",3
"987",5
"988",4
"989",3
"990",4
"991",4
"992",3
"993",5
"994",5
"995",2
"996",5
"997",1
"998",3
"999",2
"1000",1
"1001",3
"1002",1
"1003",3
"1004",1
"1005",1
"1006",1
"1007",3
"1008",3
"1009",3
"1010",1
"1011",1
"1012",3
"1013",4
"1014",3
"1015",3
"1016",3
"1017",2
"1018",3
"1019",3
"1020",1
"1021",2
"1022",3
"1023",3
"1024",4
"1025",4
"1026",2
"1027",3
"1028",3
"1029",3
"1030",3
"1031",1
"1032",3
"1033",1
"1034",3
"1035",1
"1036",1
"1037",1
"1038",4
"1039",3
"1040",1
"1041",1
"1042",3
"1043",3
"1044",3
"1045",3
"1046",1
"1047",2
"1048",4
"1049",4
"1050",3
"1051",1
"1052",3
"1053",3
"1054",3
"1055",1
"1056",4
"1057",1
"1058",3
"1059",1
"1060",4
"1061",4
"1062",1
"1063",1
"1064",3
"1065",1
"1066",4
"1067",1
"1068",4
"1069",3
"1070",1
"1071",3
"1072",3
"1073",2
"1074",3
"1075",3
"1076",3
"1077",3
"1078",3
"1079",3
"1080",4
"1081",4
"1082",3
"1083",1
"1084",3
"1085",1
"1086",2
"1087",2
"1088",3
"1089",3
"1090",4
"1091",3
"1092",1
"1093",2
"1094",3
"1095",3
"1096",1
"1097",3
"1098",3
"1099",3
"1100",3
"1101",3
"1102",2
"1103",4
"1104",3
"1105",3
"1106",1
"1107",3
"1108",3
"1109",2
"1110",4
"1111",3
"1112",1
"1113",3
"1114",4
"1115",4
"1116",3
"1117",2
"1118",3
"1119",3
"1120",3
"1121",1
"1122",1
"1123",1
"1124",1
"1125",3
"1126",3
"1127",3
"1128",3
"1129",1
"1130",3
"1131",3
"1132",3
"1133",4
"1134",1
"1135",3
"1136",4
"1137",3
"1138",2
"1139",1
"1140",1
"1141",3
"1142",2
"1143",4
"1144",4
"1145",5
"1146",3
"1147",1
"1148",4
"1149",1
"1150",1
"1151",4
"1152",2
"1153",4
"1154",4
"1155",5
"1156",4
"1157",1
"1158",1
"1159",1
"1160",2
"1161",5
"1162",4
"1163",3
"1164",5
"1165",4
"1166",4
"1167",2
"1168",1
"1169",3
"1170",4
"1171",1
"1172",2
"1173",4
"1174",1
"1175",4
"1176",3
"1177",1
"1178",5
"1179",2
"1180",4
"1181",1
"1182",5
"1183",4
"1184",5
"1185",4
"1186",4
"1187",3
"1188",1
"1189",1
"1190",5
"1191",5
"1192",1
"1193",4
"1194",1
"1195",4
"1196",4
"1197",1
"1198",1
"1199",3
"1200",2
"1201",2
"1202",4
"1203",1
"1204",2
"1205",2
"1206",4
"1207",4
"1208",4
"1209",2
"1210",1
"1211",1
"1212",2
"1213",4
"1214",1
"1215",2
"1216",1
"1217",4
"1218",3
"1219",2
"1220",1
"1221",3
"1222",2
"1223",1
"1224",4
"1225",1
"1226",5
"1227",4
"1228",4
"1229",1
"1230",5
"1231",4
"1232",4
"1233",4
"1234",1
"1235",5
"1236",4
"1237",1
"1238",2
"1239",4
"1240",1
"1241",4
"1242",1
"1243",4
"1244",4
"1245",2
"1246",1
"1247",5
"1248",4
"1249",1
"1250",1
"1251",1
"1252",5
"1253",1
"1254",3
"1255",1
"1256",3
"1257",3
"1258",1
"1259",2
"1260",3
"1261",2
"1262",4
"1263",4
"1264",3
"1265",1
"1266",4
"1267",1
"1268",4
"1269",4
"1270",4
"1271",4
"1272",4
"1273",4
"1274",1
"1275",3
"1276",4
"1277",1
"1278",3
"1279",1
"1280",3
"1281",3
"1282",1
"1283",3
"1284",3
"1285",4
"1286",1
"1287",1
"1288",4
"1289",1
"1290",3
"1291",3
"1292",1
"1293",1
"1294",3
"1295",1
"1296",4
"1297",1
"1298",4
"1299",4
"1300",1
"1301",4
"1302",1
"1303",1
"1304",1
"1305",4
"1306",1
"1307",4
"1308",4
"1309",4
"1310",4
"1311",4
"1312",2
"1313",4
"1314",2
"1315",2
"1316",4
"1317",1
"1318",3
"1319",4
"1320",2
"1321",3
"1322",2
"1323",4
"1324",4
"1325",4
"1326",3
"1327",2
"1328",4
"1329",4
"1330",1
"1331",4
"1332",2
"1333",4
"1334",1
"1335",2
"1336",4
"1337",4
"1338",3
"1339",4
"1340",4
"1341",5
"1342",1
"1343",4
"1344",3
"1345",1
"1346",4
"1347",2
"1348",4
"1349",4
"1350",4
"1351",1
"1352",2
"1353",4
"1354",4
"1355",4
"1356",3
"1357",4
"1358",3
"1359",4
"1360",4
"1361",1
"1362",4
"1363",3
"1364",4
"1365",4
"1366",4
"1367",4
"1368",3
"1369",4
"1370",4
"1371",4
"1372",3
"1373",3
"1374",3
"1375",3
"1376",1
"1377",4
"1378",4
"1379",4
"1380",4
"1381",4
"1382",4
"1383",3
"1384",4
"1385",4
"1386",4
"1387",5
"1388",4
"1389",2
"1390",3
"1391",4
"1392",4
"1393",1
"1394",3
"1395",4
"1396",3
"1397",1
"1398",3
"1399",3
"1400",3
"1401",3
"1402",4
"1403",4
"1404",2
"1405",2
"1406",4
"1407",4
"1408",4
"1409",4
"1410",4
"1411",5
"1412",3
"1413",2
"1414",4
"1415",4
"1416",5
"1417",1
"1418",1
"1419",4
"1420",1
"1421",4
"1422",4
"1423",3
"1424",3
"1425",4
"1426",2
"1427",4
"1428",4
"1429",2
"1430",3
"1431",4
"1432",3
"1433",2
"1434",4
"1435",3
"1436",4
"1437",4
"1438",4
"1439",4
"1440",1
"1441",4
"1442",4
"1443",3
"1444",4
"1445",4
"1446",1
"1447",2
"1448",4
"1449",4
"1450",2
"1451",1
"1452",2
"1453",2
"1454",2
"1455",2
"1456",4
"1457",4
"1458",4
"1459",2
"1460",2
"1461",2
"1462",1
"1463",1
"1464",5
"1465",3
"1466",4
"1467",2
"1468",1
"1469",1
"1470",2
"1471",4
"1472",3
"1473",5
"1474",1
"1475",3
"1476",1
"1477",3
"1478",4
"1479",3
"1480",3
"1481",1
"1482",5
"1483",4
"1484",1
"1485",1
"1486",4
"1487",3
"1488",4
"1489",4
"1490",1
"1491",4
"1492",2
"1493",2
"1494",1
"1495",4
"1496",3
"1497",3
"1498",2
"1499",1
"1500",2
"1501",2
"1502",3
"1503",1
"1504",2
"1505",3
"1506",2
"1507",2
"1508",3
"1509",1
"1510",1
"1511",2
"1512",2
"1513",2
"1514",2
"1515",2
"1516",2
"1517",2
"1518",2
"1519",4
"1520",3
"1521",3
"1522",3
"1523",1
"1524",2
"1525",2
"1526",3
"1527",4
"1528",4
"1529",4
"1530",2
"1531",3
"1532",1
"1533",3
"1534",4
"1535",4
"1536",1
"1537",1
"1538",4
"1539",4
"1540",1
"1541",1
"1542",2
"1543",4
"1544",1
"1545",2
"1546",1
"1547",4
"1548",1
"1549",3
"1550",4
"1551",1
"1552",2
"1553",4
"1554",1
"1555",1
"1556",1
"1557",4
"1558",4
"1559",5
"1560",1
"1561",1
"1562",4
"1563",3
"1564",3
"1565",3
"1566",3
"1567",3
"1568",1
"1569",1
"1570",4
"1571",3
"1572",4
"1573",3
"1574",4
"1575",3
"1576",1
"1577",1
"1578",3
"1579",3
"1580",1
"1581",4
"1582",3
"1583",3
"1584",1
"1585",3
"1586",4
"1587",1
"1588",1
"1589",3
"1590",1
"1591",3
"1592",3
"1593",3
"1594",4
"1595",3
"1596",3
"1597",4
"1598",3
"1599",3
"1600",1
"1601",3
"1602",3
"1603",1
"1604",4
"1605",1
"1606",3
"1607",4
"1608",3
"1609",1
"1610",1
"1611",1
"1612",4
"1613",1
"1614",1
"1615",2
"1616",1
"1617",3
"1618",3
"1619",3
"1620",4
"1621",3
"1622",3
"1623",1
"1624",4
"1625",3
"1626",3
"1627",1
"1628",1
"1629",3
"1630",2
"1631",1
"1632",4
"1633",4
"1634",3
"1635",4
"1636",3
"1637",1
"1638",3
"1639",1
"1640",2
"1641",3
"1642",1
"1643",3
"1644",2
"1645",1
"1646",1
"1647",3
"1648",1
"1649",2
"1650",1
"1651",1
"1652",3
"1653",3
"1654",3
"1655",1
"1656",5
"1657",3
"1658",3
"1659",3
"1660",4
"1661",3
"1662",2
"1663",5
"1664",3
"1665",3
"1666",1
"1667",1
"1668",4
"1669",1
"1670",1
"1671",3
"1672",3
"1673",1
"1674",4
"1675",3
"1676",3
"1677",2
"1678",1
"1679",1
"1680",2
"1681",1
"1682",3
"1683",4
"1684",3
"1685",3
"1686",1
"1687",1
"1688",4
"1689",3
"1690",3
"1691",2
"1692",1
"1693",4
"1694",3
"1695",1
"1696",3
"1697",3
"1698",3
"1699",3
"1700",3
"1701",3
"1702",4
"1703",1
"1704",1
"1705",1
"1706",1
"1707",4
"1708",4
"1709",1
"1710",4
"1711",2
"1712",1
"1713",4
"1714",4
"1715",1
"1716",1
"1717",4
"1718",4
"1719",3
"1720",1
"1721",2
"1722",4
"1723",2
"1724",4
"1725",1
"1726",5
"1727",2
"1728",4
"1729",4
"1730",1
"1731",3
"1732",1
"1733",3
"1734",4
"1735",1
"1736",5
"1737",2
"1738",4
"1739",4
"1740",4
"1741",4
"1742",3
"1743",5
"1744",1
"1745",5
"1746",4
"1747",1
"1748",1
"1749",4
"1750",1
"1751",2
"1752",2
"1753",1
"1754",1
"1755",5
"1756",4
"1757",2
"1758",4
"1759",2
"1760",5
"1761",4
"1762",1
"1763",1
"1764",3
"1765",1
"1766",4
"1767",1
"1768",1
"1769",5
"1770",1
"1771",4
"1772",4
"1773",1
"1774",4
"1775",2
"1776",5
"1777",4
"1778",2
"1779",4
"1780",1
"1781",5
"1782",1
"1783",1
"1784",5
"1785",1
"1786",2
"1787",1
"1788",1
"1789",3
"1790",4
"1791",1
"1792",5
"1793",1
"1794",4
"1795",1
"1796",5
"1797",1
"1798",1
"1799",1
"1800",4
"1801",1
"1802",1
"1803",3
"1804",4
"1805",4
"1806",1
"1807",2
"1808",4
"1809",4
"1810",4
"1811",1
"1812",4
"1813",1
"1814",1
"1815",1
"1816",5
"1817",3
"1818",1
"1819",5
"1820",1
"1821",2
"1822",3
"1823",4
"1824",5
"1825",4
"1826",1
"1827",4
"1828",1
"1829",5
"1830",5
"1831",5
"1832",1
"1833",1
"1834",4
"1835",4
"1836",4
"1837",1
"1838",4
"1839",5
"1840",1
"1841",1
"1842",1
"1843",1
"1844",5
"1845",5
"1846",1
"1847",2
"1848",4
"1849",5
"1850",1
"1851",5
"1852",5
"1853",2
"1854",1
"1855",3
"1856",1
"1857",1
"1858",2
"1859",4
"1860",2
"1861",4
"1862",4
"1863",1
"1864",5
"1865",4
"1866",3
"1867",1
"1868",1
"1869",2
"1870",3
"1871",1
"1872",2
"1873",3
"1874",1
"1875",4
"1876",1
"1877",1
"1878",4
"1879",2
"1880",2
"1881",1
"1882",1
"1883",1
"1884",2
"1885",5
"1886",1
"1887",1
"1888",5
"1889",5
"1890",3
"1891",1
"1892",2
"1893",5
"1894",1
"1895",5
"1896",4
"1897",4
"1898",1
"1899",4
"1900",1
"1901",1
"1902",2
"1903",4
"1904",1
"1905",1
"1906",1
"1907",1
"1908",4
"1909",1
"1910",1
"1911",1
"1912",1
"1913",5
"1914",1
"1915",1
"1916",4
"1917",4
"1918",1
"1919",5
"1920",1
"1921",1
"1922",4
"1923",1
"1924",1
"1925",5
"1926",1
"1927",1
"1928",1
"1929",5
"1930",1
"1931",4
"1932",4
"1933",4
"1934",3
"1935",4
"1936",5
"1937",2
"1938",1
"1939",5
"1940",4
"1941",1
"1942",5
"1943",4
"1944",5
"1945",1
"1946",4
"1947",1
"1948",5
"1949",5
"1950",5
"1951",1
"1952",5
"1953",4
"1954",4
"1955",4
"1956",4
"1957",1
"1958",4
"1959",1
"1960",4
"1961",3
"1962",1
"1963",1
"1964",1
"1965",1
"1966",4
"1967",1
"1968",4
"1969",3
"1970",4
"1971",1
"1972",3
"1973",1
"1974",4
"1975",4
"1976",4
"1977",4
"1978",4
"1979",4
"1980",4
"1981",4
"1982",4
"1983",4
"1984",1
"1985",5
"1986",1
"1987",1
"1988",3
"1989",1
"1990",4
"1991",1
"1992",1
"1993",1
"1994",4
"1995",4
"1996",3
"1997",3
"1998",1
"1999",2
"2000",4
"2001",3
"2002",4
"2003",4
"2004",4
"2005",4
"2006",4
"2007",4
"2008",4
"2009",4
"2010",4
"2011",4
"2012",4
"2013",1
"2014",4
"2015",4
"2016",4
"2017",4
"2018",1
"2019",5
"2020",5
"2021",1
"2022",4
"2023",1
"2024",3
"2025",3
"2026",2
"2027",3
"2028",3
"2029",2
"2030",3
"2031",3
"2032",4
"2033",3
"2034",3
"2035",4
"2036",1
"2037",1
"2038",4
"2039",4
"2040",1
"2041",1
"2042",4
"2043",4
"2044",4
"2045",1
"2046",3
"2047",4
"2048",4
"2049",4
"2050",1
"2051",1
"2052",3
"2053",4
"2054",1
"2055",4
"2056",1
"2057",4
"2058",4
"2059",3
"2060",1
"2061",5
"2062",4
"2063",1
"2064",4
"2065",5
"2066",4
"2067",4
"2068",4
"2069",4
"2070",4
"2071",4
"2072",4
"2073",2
"2074",1
"2075",1
"2076",3
"2077",2
"2078",4
"2079",4
"2080",1
"2081",4
"2082",4
"2083",3
"2084",4
"2085",3
"2086",4
"2087",2
"2088",3
"2089",4
"2090",2
"2091",4
"2092",3
"2093",4
"2094",4
"2095",4
"2096",4
"2097",4
"2098",4
"2099",4
"2100",4
"2101",4
"2102",5
"2103",3
"2104",4
"2105",3
"2106",4
"2107",4
"2108",2
"2109",5
"2110",4
"2111",4
"2112",2
"2113",1
"2114",3
"2115",4
"2116",2
"2117",4
"2118",2
"2119",4
"2120",4
"2121",3
"2122",1
"2123",3
"2124",4
"2125",4
"2126",4
"2127",4
"2128",4
"2129",4
"2130",5
"2131",4
"2132",3
"2133",3
"2134",4
"2135",4
"2136",3
"2137",4
"2138",4
"2139",4
"2140",3
"2141",4
"2142",1
"2143",3
"2144",4
"2145",3
"2146",4
"2147",4
"2148",5
"2149",4
"2150",4
"2151",1
"2152",1
"2153",3
"2154",4
"2155",3
"2156",3
"2157",4
"2158",2
"2159",1
"2160",3
"2161",3
"2162",2
"2163",4
"2164",5
"2165",3
"2166",4
"2167",4
"2168",4
"2169",3
"2170",4
"2171",5
"2172",2
"2173",4
"2174",4
"2175",4
"2176",4
"2177",4
"2178",5
"2179",3
"2180",4
"2181",2
"2182",5
"2183",3
"2184",4
"2185",4
"2186",4
"2187",4
"2188",3
"2189",4
"2190",4
"2191",4
"2192",4
"2193",4
"2194",4
"2195",3
"2196",3
"2197",4
"2198",5
"2199",4
"2200",4
"2201",4
"2202",3
"2203",4
"2204",4
"2205",3
"2206",4
"2207",4
"2208",4
"2209",1
"2210",3
"2211",4
"2212",4
"2213",4
"2214",1
"2215",5
"2216",4
"2217",5
"2218",5
"2219",5
"2220",1
"2221",4
"2222",4
"2223",4
"2224",4
"2225",5
"2226",3
"2227",3
"2228",2
"2229",3
"2230",5
"2231",3
"2232",1
"2233",3
"2234",2
"2235",4
"2236",1
"2237",4
"2238",4
"2239",1
"2240",5
"2241",4
"2242",3
"2243",4
"2244",5
"2245",4
"2246",4
"2247",5
"2248",4
"2249",1
"2250",2
"2251",4
"2252",4
"2253",4
"2254",3
"2255",4
"2256",4
"2257",4
"2258",5
"2259",4
"2260",4
"2261",4
"2262",4
"2263",4
"2264",2
"2265",4
"2266",3
"2267",4
"2268",3
"2269",3
"2270",4
"2271",5
"2272",1
"2273",3
"2274",3
"2275",3
"2276",3
"2277",4
"2278",4
"2279",4
"2280",4
"2281",3
"2282",4
"2283",3
"2284",4
"2285",4
"2286",3
"2287",4
"2288",4
"2289",4
"2290",5
"2291",4
"2292",4
"2293",1
"2294",4
"2295",4
"2296",5
"2297",4
"2298",5
"2299",4
"2300",5
"2301",4
"2302",4
"2303",5
"2304",4
"2305",4
"2306",3
"2307",5
"2308",3
"2309",4
"2310",4
"2311",4
"2312",5
"2313",4
"2314",4
"2315",4
"2316",5
"2317",4
"2318",5
"2319",4
"2320",4
"2321",4
"2322",3
"2323",4
"2324",4
"2325",5
"2326",4
"2327",4
"2328",4
"2329",4
"2330",3
"2331",4
"2332",4
"2333",5
"2334",4
"2335",3
"2336",4
"2337",4
"2338",4
"2339",4
"2340",1
"2341",4
"2342",5
"2343",5
"2344",4
"2345",1
"2346",4
"2347",4
"2348",5
"2349",1
"2350",4
"2351",4
"2352",3
"2353",4
"2354",4
"2355",4
"2356",3
"2357",5
"2358",3
"2359",4
"2360",4
"2361",5
"2362",3
"2363",3
"2364",3
"2365",5
"2366",3
"2367",4
"2368",4
"2369",3
"2370",4
"2371",4
"2372",4
"2373",2
"2374",3
"2375",3
"2376",5
"2377",3
"2378",3
"2379",4
"2380",5
"2381",4
"2382",2
"2383",4
"2384",4
"2385",4
"2386",4
"2387",3
"2388",1
"2389",4
"2390",4
"2391",4
"2392",4
"2393",3
"2394",3
"2395",4
"2396",4
"2397",3
"2398",4
"2399",4
"2400",4
"2401",2
"2402",4
"2403",3
"2404",4
"2405",2
"2406",2
"2407",4
"2408",4
"2409",3
"2410",4
"2411",3
"2412",4
"2413",2
"2414",2
"2415",4
"2416",4
"2417",4
"2418",4
"2419",3
"2420",3
"2421",4
"2422",1
"2423",3
"2424",4
"2425",2
"2426",4
"2427",4
"2428",5
"2429",4
"2430",4
"2431",2
"2432",3
"2433",4
"2434",2
"2435",1
"2436",3
"2437",4
"2438",3
"2439",3
"2440",4
"2441",4
"2442",5
"2443",4
"2444",2
"2445",4
"2446",4
"2447",4
"2448",3
"2449",1
"2450",5
"2451",5
"2452",4
"2453",4
"2454",3
"2455",4
"2456",4
"2457",4
"2458",3
"2459",1
"2460",4
"2461",4
"2462",4
"2463",3
"2464",4
"2465",4
"2466",3
"2467",3
"2468",3
"2469",5
"2470",2
"2471",4
"2472",5
"2473",4
"2474",4
"2475",4
"2476",3
"2477",4
"2478",4
"2479",4
"2480",2
"2481",4
"2482",4
"2483",4
"2484",3
"2485",5
"2486",4
"2487",3
"2488",3
"2489",4
"2490",4
"2491",3
"2492",2
"2493",3
"2494",4
"2495",5
"2496",4
"2497",4
