"animal","test.sales","sales"
"camel",64,7291
"penguin",48,3633
"kangaroo",71,12304
"monkey",50,11392
"kangaroo",45,6763
"fox",5,0
"penguin",64,3755
"penguin",46,4812
"elephant",1,0
"lion",69,9968
"lion",34,5060
"kangaroo",37,6678
"rabbit",31,2896
"lion",54,7776
"monkey",69,12984
"kangaroo",42,6847
"camel",61,7763
"lion",28,5433
"monkey",66,13335
"kangaroo",51,7900
"camel",42,6898
"koala",6,0
"bear",50,6703
"monkey",27,7112
"penguin",72,4730
"monkey",46,10026
"penguin",30,2708
"monkey",73,13278
"kangaroo",41,6428
"monkey",32,7448
"bear",74,8666
"lion",71,8682
"bear",72,10493
"kangaroo",27,5166
"kangaroo",48,6779
"bear",72,6518
"monkey",41,9933
"lion",36,5364
"monkey",63,12813
"kangaroo",71,11155
"penguin",65,6328
"penguin",67,5511
"fox",3,0
"kangaroo",33,6730
"elephant",3,0
"bear",65,8606
"lion",56,6470
"bear",60,6409
"zebra",68,9067
"kangaroo",47,7313
"monkey",63,12715
"kangaroo",29,6648
"bear",49,7940
"fox",7,0
"monkey",74,13963
"monkey",44,9092
"lion",57,7681
"kangaroo",63,9659
"penguin",28,3831
"penguin",59,3545
"monkey",64,12137
"lion",67,8397
"penguin",75,5513
"bear",51,7438
"lion",52,6427
"koala",5,0
"monkey",69,14873
"lion",74,10638
"lion",55,8988
"bear",61,7811
"lion",28,4554
"kangaroo",36,6361
"lion",43,7201
"lion",51,7021
"monkey",58,12349
"bear",72,6318
"rabbit",38,4674
"koala",9,0
"rabbit",43,6216
"rabbit",66,4039
"monkey",48,10231
"bear",57,5427
"penguin",75,4145
"lion",45,8572
"rabbit",38,3457
"kangaroo",75,11920
"penguin",30,4686
"lion",53,8478
"lion",52,6023
"monkey",44,9715
"monkey",63,12189
"kangaroo",47,8287
"penguin",59,5907
"monkey",68,14372
"lion",74,9052
"lion",70,9596
"penguin",32,5020
"lion",60,8918
"bear",51,8412
"penguin",57,5014
"koala",6,0
"zebra",54,8772
"lion",73,7572
"bear",53,8763
"kangaroo",63,11315
"bear",65,7444
"lion",32,6605
"penguin",59,6723
"penguin",69,3651
"lion",55,5017
"bear",61,7112
"kangaroo",49,9188
"lion",32,5772
"monkey",62,10803
"camel",60,6398
"rabbit",41,5209
"kangaroo",60,9041
"lion",55,7274
"bear",62,8976
"kangaroo",58,8869
"bear",75,8556
"rabbit",63,4891
"lion",35,6471
"lion",46,7791
"penguin",75,4564
"penguin",56,5206
"monkey",68,13860
"zebra",70,8208
"elephant",8,0
"bear",50,5513
"lion",25,4269
"camel",68,8999
"fox",2,0
"lion",73,8656
"monkey",48,10507
"kangaroo",46,7058
"lion",47,7680
"monkey",52,10498
"monkey",41,8891
"camel",40,4790
"koala",5,0
"kangaroo",56,7895
"penguin",46,5607
"lion",33,6649
"lion",62,7606
"monkey",35,9833
"lion",50,8093
"kangaroo",72,8452
"lion",72,10366
"penguin",45,3275
"monkey",69,14440
"kangaroo",44,8888
"camel",34,5172
"penguin",30,4949
"monkey",45,10471
"kangaroo",45,9237
"lion",43,6711
"bear",27,4453
"fox",8,0
"fox",10,0
"lion",57,7305
"penguin",34,4739
"monkey",72,12995
"penguin",66,2660
"penguin",28,2729
"monkey",49,9857
"penguin",49,3812
"kangaroo",45,8056
"elephant",6,0
"zebra",58,7993
"lion",48,5393
"penguin",67,6039
"elephant",1,0
"fox",6,0
"bear",71,8184
"monkey",73,14461
"monkey",75,12755
"rabbit",68,5617
"kangaroo",29,5388
"lion",54,6183
"kangaroo",30,7674
"camel",41,5740
"penguin",55,4054
"koala",3,0
"lion",71,10034
"koala",5,0
"zebra",68,8612
"lion",69,9306
"kangaroo",44,8537
"bear",29,6614
"elephant",3,0
"camel",31,3844
"monkey",67,11622
"bear",61,6595
"lion",41,6921
"kangaroo",70,10122
"koala",4,0
"rabbit",51,4258
"monkey",28,7617
"monkey",75,13725
"monkey",47,11642
"camel",33,4611
"kangaroo",75,10679
"monkey",48,10754
"lion",68,6448
"bear",28,6176
"lion",75,8475
"monkey",30,6878
"bear",29,5632
"kangaroo",48,8481
"bear",66,6758
"kangaroo",63,10509
"koala",6,0
"lion",66,8086
"kangaroo",34,6761
"bear",37,3979
"camel",52,7144
"kangaroo",45,8154
"lion",52,7974
"penguin",61,6585
"monkey",67,13266
"lion",50,6988
"monkey",44,7725
"kangaroo",35,8099
"kangaroo",71,9983
"lion",39,7641
"rabbit",67,4946
"monkey",37,9075
"rabbit",48,3934
"kangaroo",49,7881
"lion",29,4263
"monkey",32,8303
"kangaroo",40,7083
"penguin",37,2107
"bear",65,7556
"monkey",37,9794
"lion",61,8334
"zebra",44,6287
"bear",40,5346
"zebra",27,5593
"camel",73,8704
"lion",28,5915
"rabbit",66,4611
"lion",32,6900
"kangaroo",42,8181
"monkey",49,9758
"zebra",42,6884
"bear",48,5509
"rabbit",75,4350
"zebra",52,8194
"lion",71,10654
"lion",36,6789
"penguin",32,2097
"lion",49,5792
"lion",51,6899
"fox",5,0
"penguin",57,5713
"rabbit",52,4613
"kangaroo",51,9334
"kangaroo",26,3651
"kangaroo",39,6847
"bear",40,5342
"camel",50,6558
"penguin",50,2897
"penguin",39,4051
"rabbit",42,4861
"lion",52,8720
"monkey",67,14193
"camel",39,6065
"elephant",2,0
"monkey",28,5877
"bear",32,5154
"rabbit",44,3854
"lion",43,7844
"lion",32,6455
"monkey",57,10894
"rabbit",50,4240
"kangaroo",66,9150
"zebra",69,9149
"kangaroo",31,5568
"kangaroo",42,7500
"monkey",64,12050
"kangaroo",58,9064
"camel",55,8154
"fox",7,0
"penguin",43,5041
"lion",38,6881
"lion",65,7875
"bear",74,6948
"kangaroo",64,9785
"penguin",75,5837
"fox",6,0
"lion",57,7899
"penguin",47,3866
"kangaroo",56,7158
"kangaroo",55,6872
"monkey",75,13895
"koala",9,0
"penguin",53,4970
"monkey",65,13725
"bear",31,3835
"bear",35,5301
"koala",3,0
"monkey",51,11815
"bear",74,9232
"elephant",3,0
"kangaroo",58,8865
"monkey",40,9942
"bear",27,5318
"fox",2,0
"lion",48,7429
"elephant",5,0
"camel",39,6181
"bear",40,5740
"penguin",73,5522
"lion",71,8819
"monkey",75,14661
"camel",31,3845
"penguin",73,5554
"bear",43,4984
"penguin",73,5864
"lion",70,7280
"zebra",58,7887
"zebra",50,6119
"lion",67,7619
"penguin",34,4171
"penguin",62,6404
"bear",43,5608
"bear",25,5468
"monkey",59,11680
"bear",70,8019
"camel",69,6937
"zebra",26,6220
"rabbit",42,4696
"fox",1,0
"penguin",42,2841
"penguin",27,4772
"lion",36,5559
"rabbit",39,6363
"monkey",42,11691
"monkey",51,12049
"lion",74,8729
"zebra",42,6982
"monkey",59,11902
"lion",56,8632
"kangaroo",37,7268
"monkey",52,12854
"bear",73,8018
"lion",50,8261
"lion",60,6716
"lion",74,7869
"monkey",38,6982
"monkey",29,7867
"lion",69,7058
"zebra",38,5507
"kangaroo",68,11597
"kangaroo",59,7404
"lion",39,6131
"lion",34,6122
"bear",37,4572
"penguin",27,2110
"penguin",26,3835
"kangaroo",38,6560
"elephant",4,0
"kangaroo",44,7288
"fox",10,0
"elephant",7,0
"lion",53,7480
"monkey",52,10811
"penguin",40,3920
"lion",36,5708
"kangaroo",32,4280
"kangaroo",75,10841
"bear",38,6058
"monkey",47,9144
"kangaroo",42,8869
"bear",43,5571
"bear",73,5663
"lion",34,4722
"lion",73,10281
"bear",63,6747
"monkey",31,8188
"kangaroo",28,5222
"penguin",52,4419
"rabbit",52,4304
"penguin",61,4226
"fox",6,0
"kangaroo",46,9232
"monkey",38,10339
"kangaroo",44,7951
"bear",34,5332
"lion",70,10478
"lion",26,3681
"camel",51,8285
"rabbit",42,4886
"lion",51,7201
"penguin",39,4885
"koala",7,0
"monkey",54,9734
"kangaroo",45,7948
"lion",61,8569
"kangaroo",69,10532
"lion",63,7571
"zebra",74,10798
"lion",48,7689
"rabbit",70,3049
"zebra",25,6718
"kangaroo",39,8214
"kangaroo",73,10024
"bear",74,7299
"lion",72,7558
"koala",4,0
"fox",7,0
"penguin",30,5284
"lion",70,8960
"kangaroo",51,8596
"rabbit",38,3614
"lion",52,8311
"penguin",42,5708
"lion",69,8370
"camel",25,3171
"lion",32,5645
"penguin",32,5000
"lion",26,4887
"penguin",51,5273
"bear",67,7412
"koala",6,0
"kangaroo",35,6481
"bear",29,4491
"penguin",36,3098
"monkey",30,6411
"lion",34,5761
"rabbit",67,4541
"camel",28,3831
"zebra",40,5939
"bear",49,5365
"bear",66,6472
"kangaroo",55,9009
"kangaroo",49,9083
"bear",45,5347
"penguin",70,5011
"camel",48,6933
"kangaroo",45,9223
"bear",68,6208
"monkey",67,13084
"lion",54,7140
"lion",69,8230
"monkey",64,12727
"kangaroo",30,6729
"lion",44,7884
"bear",33,3830
"bear",39,6246
"kangaroo",54,8833
"camel",46,7514
"penguin",71,5986
"penguin",32,2919
"fox",5,0
"bear",28,4501
"penguin",57,5919
"monkey",70,13696
"zebra",48,8178
"penguin",30,5323
"monkey",63,14016
"zebra",39,6235
"lion",66,9532
"kangaroo",31,5658
"penguin",64,4267
"lion",35,6216
"kangaroo",60,9935
"rabbit",68,5015
"camel",65,6150
"kangaroo",74,9946
"kangaroo",41,5909
"penguin",53,4523
"penguin",63,5133
"kangaroo",65,9409
"bear",35,5423
"lion",50,6170
"monkey",52,11494
"rabbit",39,2463
"bear",75,8845
"lion",66,6976
"penguin",46,4293
"monkey",49,9305
"bear",50,7220
"bear",62,6265
"kangaroo",54,8259
"kangaroo",70,9053
"camel",32,6108
"camel",64,6690
"lion",43,7237
"kangaroo",47,7959
"lion",30,7468
"bear",41,6353
"fox",3,0
"lion",40,7001
"camel",36,6024
"monkey",25,6138
"elephant",2,0
"monkey",56,10771
"bear",46,6058
"kangaroo",39,8430
"monkey",25,5598
"kangaroo",75,11001
"penguin",55,4131
"lion",26,5682
"camel",75,8581
"kangaroo",55,10159
"lion",35,5109
"rabbit",59,2927
"kangaroo",46,8270
"kangaroo",66,10533
"zebra",25,6567
"koala",5,0
"kangaroo",28,3661
"monkey",58,11769
"penguin",35,5410
"kangaroo",67,8949
"lion",37,7306
"lion",65,9035
"penguin",74,6048
"monkey",49,11766
"rabbit",44,4097
"penguin",44,4375
"bear",66,8300
"fox",5,0
"bear",63,6807
"monkey",59,13234
"kangaroo",52,9725
"monkey",55,11453
"koala",1,0
"koala",1,0
"camel",32,6547
"bear",57,6428
"lion",53,7223
"lion",29,5798
"lion",74,10188
"kangaroo",75,10245
"monkey",29,8317
"lion",53,6230
"penguin",60,4359
"kangaroo",46,6905
"kangaroo",57,7834
"lion",66,9851
"lion",41,5000
"lion",57,8409
"rabbit",51,3675
"camel",35,5883
"penguin",35,7116
"kangaroo",65,10670
"kangaroo",28,6324
"penguin",62,4755
"penguin",36,5308
"lion",42,5697
"kangaroo",47,7472
"bear",33,5626
"monkey",37,8435
"fox",9,0
"penguin",49,6643
"monkey",65,11822
"rabbit",57,4861
"kangaroo",27,5939
"bear",66,7077
"monkey",27,7683
"koala",3,0
"bear",52,6171
"penguin",30,5013
"lion",57,7864
"elephant",2,0
"monkey",58,11297
"rabbit",75,4380
"monkey",57,12443
"bear",27,4375
"rabbit",50,2927
"kangaroo",72,9596
"bear",30,5554
"lion",39,7773
"fox",7,0
"zebra",25,5541
"kangaroo",41,7663
"monkey",65,12426
"lion",67,8514
"rabbit",55,4364
"bear",35,3673
"bear",74,6049
"camel",58,7080
"rabbit",46,3097
"rabbit",74,4398
"penguin",74,4921
"lion",52,7324
"kangaroo",55,8614
"bear",61,6720
"koala",10,0
"penguin",41,5003
"lion",29,5870
"kangaroo",28,5089
"lion",61,5922
"bear",39,7252
"penguin",52,2905
"koala",5,0
"zebra",49,6145
"bear",51,8469
"lion",55,7705
"fox",8,0
"lion",37,5599
"camel",74,9447
"kangaroo",40,7361
"elephant",4,0
"bear",36,7848
"kangaroo",56,10565
"penguin",73,7183
"monkey",27,7665
"lion",45,6380
"kangaroo",74,9110
"lion",54,8755
"bear",51,7490
"kangaroo",36,7086
"penguin",48,4854
"koala",7,0
"zebra",25,4544
"kangaroo",36,5629
"rabbit",27,4757
"monkey",32,8410
"monkey",31,6846
"penguin",53,4249
"bear",40,6309
"kangaroo",28,6702
"monkey",69,13823
"lion",25,5190
"bear",25,5336
"zebra",42,6968
"bear",36,4772
"koala",6,0
"penguin",34,3860
"monkey",37,8274
"kangaroo",63,9596
"camel",50,5820
"penguin",50,4732
"monkey",46,9011
"kangaroo",34,6727
"bear",33,4369
"bear",32,4929
"kangaroo",65,11246
"kangaroo",45,7996
"monkey",30,8225
"kangaroo",42,8013
"kangaroo",75,10722
"kangaroo",29,6021
"rabbit",40,4093
"camel",70,9845
"kangaroo",31,6105
"lion",43,7766
"penguin",38,4550
"zebra",46,6551
"penguin",53,5079
"lion",57,7589
"lion",49,6160
"rabbit",66,4959
"kangaroo",53,8358
"kangaroo",48,8901
"fox",7,0
"penguin",59,3394
"lion",53,6721
"zebra",66,11649
"bear",60,4319
"monkey",43,10053
"lion",42,6980
"bear",38,5315
"camel",45,5581
"bear",34,6117
"bear",28,5778
"lion",33,6487
"kangaroo",61,9835
"zebra",55,9079
"bear",48,6001
"monkey",28,6685
"fox",1,0
"monkey",53,12047
"penguin",67,4389
"lion",31,5158
"monkey",45,9243
"lion",69,7662
"lion",43,7234
"camel",26,3723
"lion",31,5299
"penguin",25,4396
"monkey",33,5869
"monkey",29,6861
"camel",44,7116
"penguin",62,5284
"lion",39,6522
"lion",62,8487
"lion",34,6064
"camel",60,7581
"kangaroo",66,10420
"elephant",6,0
"kangaroo",44,6607
"lion",71,9158
"bear",49,6279
"rabbit",30,3626
"bear",47,6049
"kangaroo",64,10947
"penguin",29,1494
"bear",42,6507
"penguin",56,5597
"bear",73,8732
"camel",59,7760
"fox",1,0
"lion",27,6047
"monkey",36,8608
"penguin",65,5621
"monkey",75,16114
"elephant",2,0
"zebra",65,8649
"camel",36,4202
"lion",44,7045
"penguin",61,3496
"penguin",50,5375
"kangaroo",53,8250
"monkey",59,11686
"kangaroo",31,7619
"penguin",50,5998
"fox",9,0
"camel",28,4767
"monkey",56,11735
"bear",31,6565
"kangaroo",48,8799
"lion",25,5338
"kangaroo",50,8303
"zebra",42,7467
"rabbit",74,2471
"monkey",31,8071
"monkey",43,9121
"bear",45,7302
"kangaroo",66,10325
"penguin",55,3853
"lion",40,7863
"monkey",35,9767
"bear",39,4450
"kangaroo",47,8283
"bear",58,9393
"kangaroo",58,9082
"monkey",32,6327
"penguin",54,4572
"bear",39,6717
"koala",6,0
"monkey",43,10788
"koala",7,0
"camel",26,5080
"monkey",33,9160
"monkey",34,8444
"kangaroo",42,7655
"zebra",59,8741
"penguin",58,4602
