ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
32,HD,8,8,IL,0,3,A,40593,40595,40452,NA,1115,78,5,0.796,40276,40401,7,10,40205,A,Other,10,PUBLIC,0,6,8,597,Q,0.337,0,East Coast,EXISTING,98,108,1115,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.164154104,0.907407407,10,M-L,1
33,HD,8,8,OH,1,3,A,40593,40595,40466,NA,1186,10,0,0.833,40220,40410,0,1,40220,,Other,10,Catholic,0,K,8,500,J,0,0,East Coast,EXISTING,12,13,1186,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,1,0.024,0.923076923,1,S-M,1
34,HD,7,8,IL,0,3,A,40593,40595,40474,NA,999,12,0,0.857,40224,40417,0,2,40225,B,Other,10,PUBLIC,1,7,8,320,L,0.286,0,East Coast,EXISTING,14,16,999,1,40435,40435,158,158,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,0,0.04375,0.875,2,S,1
35,HD,8,8,IN,0,3,A,40593,40595,40471,NA,1174,28,5,0.718,40240,40400,7,4,40239,A,Other,5,PUBLIC,1,7,8,794,P,0.308,0,East Coast,EXISTING,39,43,1174,1,40408,40408,185,185,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.049118388,0.906976744,4,M-L,1
36,HD,8,8,IN,0,3,A,40593,40595,40471,NA,1174,72,13,0.686,40239,40400,15,7,40239,A,Other,5,PUBLIC,1,7,8,955,P,0.229,0,East Coast,EXISTING,105,112,1174,1,40408,40408,185,185,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.109947644,0.9375,7,L,1
37,HD,8,8,IN,0,3,A,40593,40595,40471,NA,1174,37,3,0.804,40240,40400,3,3,40239,A,Other,10,PUBLIC,1,7,8,966,P,0.283,0,East Coast,EXISTING,46,49,1174,1,40407,40407,186,186,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.047619048,0.93877551,3,L,1
38,SM,6,8,CA,0,5,A,40593,40597,40466,NA,2202,21,1,0.84,40273,40407,1,2,40270,,Northern California,4,Private non-Christian,1,PK,8,321,Q,0.36,0,Science,NEW,25,27,2202,1,40421,40421,172,172,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,S,0,0.07788162,0.925925926,2,S,1
39,HC,8,8,CA,0,6,A,40593,40598,40466,NA,2631,97,30,0.669,40213,40422,37,14,40197,B,Southern California,5,PUBLIC,1,7,12,2393,Q,0.2,0,East Coast,EXISTING,145,159,2631,2,40309,40458,284,135,Middle,Middle,Middle->Middle,February,Middle,High,Middle->High,H,1,0.060593397,0.911949686,14,L,1
40,HD,8,8,CA,0,5,A,40593,40598,40466,NA,2049,43,3,0.606,40234,40414,5,9,40233,A,Northern California,5,PUBLIC,1,6,8,783,Q,0.268,1,East Coast,EXISTING,71,80,2049,1,40430,40430,163,163,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.090676884,0.8875,9,M-L,1
41,HD,8,8,CA,0,6,A,40593,40598,40466,NA,2469,14,2,0.778,40247,40421,2,1,40247,,Northern California,7,PUBLIC,1,,NA,,,0,0,East Coast,EXISTING,18,19,2469,2,40319,40456,274,137,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1,NA,0.947368421,1,,1
42,HC,8,8,CA,0,6,A,40593,40599,40466,NA,2366,36,4,0.75,40217,40413,3,3,40208,B,Northern California,5,PUBLIC,1,6,8,700,P3,0.146,0,East Coast,EXISTING,48,51,2366,2,40247,40423,346,170,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.068571429,0.941176471,3,M-L,1
43,HC,8,8,CA,1,6,A,40594,40599,40476,NA,2559,37,8,0.617,40305,40409,11,7,40305,A,Northern California,5,PUBLIC,1,6,8,700,Q,0.233,0,East Coast,EXISTING,60,67,2559,1,40452,40452,142,142,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.085714286,0.895522388,7,M-L,0
44,HC,8,8,CA,0,6,A,40594,40599,40451,NA,2907,18,3,0.667,40206,40423,5,3,40205,A,Northern California,4,PUBLIC,1,3,5,430,Q,0.222,0,East Coast,EXISTING,27,30,2907,2,40315,40435,279,159,Middle,Middle,Middle->Middle,February,Elementary,Elementary,Elementary->Elementary,H,1,0.062790698,0.9,3,S-M,1
45,HC,7,8,CA,0,7,A,40594,40600,40456,NA,2949,31,1,0.775,40241,40414,0,4,40240,,Southern California,5,Private non-Christian,1,K,8,562,P,0.175,0,East Coast,EXISTING,40,44,2949,2,40451,40556,143,38,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,0,0.071174377,0.909090909,4,S-M,1
46,CD,8,8,TX,0,5,A,40595,40599,40466,FR,1399,25,0,0.758,40263,40416,0,2,40263,,Dallas,10,CHD,1,PK,12,522,L,0.273,0,East Coast,EXISTING,33,35,1399,1,40281,40281,314,314,Middle,Middle,Middle->Middle,February,PK,High,PK->High,C,1,0.063218391,0.942857143,2,S-M,1
47,HN,NA,NA,OH,0,4,B,40595,40599,40492,NA,1190,19,3,0.826,NA,40442,2,3,40441,A,Other,9,PUBLIC,0,9,12,364,M,0.174,0,East Coast,NEW,23,26,1190,0,NA,NA,NA,NA,Undefined,Undefined,Undefined->Undefined,February,High,High,High->High,H,0,0.063186813,0.884615385,3,S-M,0
48,HD,8,8,OH,0,3,A,40596,40598,40330,SA,935,4,0,0.121,40323,40323,2,3,40303,A,Other,10,PUBLIC,1,7,8,351,M,0,0,East Coast,EXISTING,33,36,935,1,40800,40800,-204,-204,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.094017094,0.916666667,3,S-M,1
49,HD,8,8,CA,0,5,A,40596,40600,40473,NA,2077,2,3,0.5,40317,40424,3,1,40310,A,Northern California,5,PUBLIC,1,6,8,1306,Q,0,0,East Coast,EXISTING,4,5,2077,2,40435,40451,161,145,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.003062787,0.8,1,L,1
50,HD,8,8,CA,0,5,A,40596,40600,40473,NA,2077,8,6,0.727,40317,40424,4,1,40310,A,Northern California,5,PUBLIC,1,6,8,1008,Q,0.273,0,East Coast,EXISTING,11,12,2077,1,40451,40451,145,145,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.010912698,0.916666667,1,L,0
51,HS,4,4,CA,0,3,A,40597,40599,40445,NA,874,9,0,0.563,40273,40414,0,1,40240,,Southern California,5,Private non-Christian,0,PK,8,652,O,0.125,1,CA History,EXISTING,16,17,874,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,February,PK,Middle,PK->Middle,H,1,0.024539877,0.941176471,1,M-L,1
52,HD,8,8,WI,0,4,A,40597,40600,40456,NA,1138,70,7,0.636,40288,40409,10,13,40246,A,Other,4,PUBLIC,1,3,6,240,M,0.355,0,East Coast,EXISTING,110,123,1138,1,40449,40449,148,148,Middle,Middle,Middle->Middle,February,Elementary,Middle,Elementary->Middle,H,1,0.458333333,0.894308943,13,S,1
53,HD,8,8,FL,0,4,A,40597,40600,40483,NA,1310,43,0,0.573,40220,40394,0,7,40219,,Other,5,Private non-Christian,0,PK,12,850,L,0.147,0,East Coast,EXISTING,75,82,1310,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.088235294,0.914634146,7,L,1
54,HD,8,8,TX,0,4,A,40598,40601,40459,NA,1550,44,6,0.898,40269,40401,7,2,40257,C,Houston,10,PUBLIC,1,7,8,880,E,0.388,0,East Coast,EXISTING,49,51,1550,1,40436,40436,162,162,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.055681818,0.960784314,2,L,1
55,HD,8,8,IL,0,4,A,40598,40601,40452,NA,1149,20,2,0.87,40263,40416,3,4,40263,,Other,5,Catholic,1,PK,8,650,Q,0.217,0,East Coast,NEW,23,27,1149,2,40281,40444,317,154,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.035384615,0.851851852,4,M-L,1
56,SG,7,NA,MO,0,3,A,40600,40602,40497,NA,1188,11,6,0.846,NA,40444,6,1,40444,A,Other,6,PUBLIC,1,6,7,565,O,0,0,Science,NEW,13,14,1188,1,40465,40465,135,135,Middle,Undefined,Middle->Undefined,February,Middle,Middle,Middle->Middle,S,0,0.02300885,0.928571429,1,S-M,1
57,CD,11,12,AZ,0,6,A,40600,40606,40452,NA,2154,4,2,0.5,40227,40420,2,1,40227,,Other,5,CHD,1,PK,12,1325,K,0.25,1,East Coast,EXISTING,8,9,2154,1,40416,40416,184,184,High,High,High->High,February,PK,High,PK->High,C,0,0.006037736,0.888888889,1,L,1
58,CD,8,8,ID,0,5,A,40602,40606,40452,FR,1684,11,2,0.579,40255,40422,2,1,40254,,Other,5,CHD,1,PK,8,412,H,0.368,1,East Coast,EXISTING,19,20,1684,1,40413,40413,189,189,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,C,1,0.046116505,0.95,1,S-M,1
59,HD,8,8,TN,0,4,A,40603,40606,40494,FR,1163,46,3,0.697,40224,40402,3,7,40225,,Other,10,CHD,1,PK,12,750,K,0.136,0,East Coast,EXISTING,66,73,1163,1,40407,40407,196,196,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.088,0.904109589,7,M-L,1
60,HD,9,9,WI,0,5,A,40603,40607,40479,CP,1321,37,4,0.638,40266,40424,7,4,40260,B,Other,10,PUBLIC,1,7,9,824,G,0.31,0,East Coast,EXISTING,58,62,1321,1,40429,40429,174,174,High,High,High->High,March,Middle,High,Middle->High,H,1,0.07038835,0.935483871,4,L,1
61,HG,4,4,CA,1,3,A,40604,40606,40466,SA,808,0,0,0,NA,40445,1,1,40194,,Southern California,4,Private non-Christian,0,PK,6,230,O,0,1,CA History,EXISTING,45,46,808,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,March,PK,Middle,PK->Middle,H,1,0.195652174,0.97826087,1,S,0
62,HD,8,8,KS,0,3,A,40604,40607,40466,NA,1460,38,1,0.576,40282,40416,2,4,40282,,Other,5,Private non-Christian,1,PK,12,1023,Z,0.167,0,East Coast,EXISTING,66,70,1460,1,40441,40441,163,163,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.064516129,0.942857143,4,L,1
63,HC,9,12,AL,0,4,A,40605,40608,40565,CP,1589,2,3,0.167,NA,40444,4,1,40443,C,Other,8,PUBLIC,1,9,12,1688,G,0,0,East Coast,NEW,12,13,1589,1,40458,40458,147,147,High,High,High->High,March,High,High,High->High,H,0,0.007109005,0.923076923,1,L,0
64,HD,7,8,MN,1,4,A,40605,40608,40480,NA,1477,12,1,0.571,40200,40200,2,1,40192,,Other,10,Catholic,1,PK,8,200,N,0.143,0,East Coast,EXISTING,21,22,1477,1,40213,40213,392,392,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,H,0,0.105,0.954545455,1,S,0
65,HD,8,8,MS,0,3,B,40605,40609,40473,NA,851,50,1,0.746,NA,40414,1,4,40319,,Other,10,Private non-Christian,1,PK,12,1555,Z,0.149,0,East Coast,EXISTING,67,71,851,1,40424,40424,181,181,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.043086817,0.943661972,4,L,1
66,HC,5,6,AL,1,5,A,40605,40609,40488,NA,1813,36,8,0.72,40305,40305,8,3,40056,C,Other,4,PUBLIC,1,PK,5,400,C,0.28,0,East Coast,EXISTING,50,53,1813,2,40409,40484,196,121,Elementary,Middle,Elementary->Middle,March,PK,Elementary,PK->Elementary,H,0,0.125,0.943396226,3,S-M,0
67,HP,4,4,CA,0,1,B,40606,40606,40466,SA,149,0,0,0,40317,40317,1,1,40268,,Southern California,4,Private non-Christian,0,K,6,280,Q,0,1,CA History,EXISTING,25,26,149,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,March,K,Middle,K->Middle,H,1,0.089285714,0.961538462,1,S,1
68,HD,8,8,NY,0,3,A,40606,40608,40483,FR,987,94,10,0.686,40252,40402,10,13,40236,A,Other,5,PUBLIC,1,6,8,1232,O,0.219,0,East Coast,EXISTING,137,150,987,1,40574,40574,32,32,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.111201299,0.913333333,13,L,1
69,HD,7,7,IL,0,3,A,40606,40609,40456,NA,1040,65,6,0.707,40234,40410,5,10,40234,B,Other,10,PUBLIC,1,7,8,478,L,0.196,0,East Coast,EXISTING,92,102,1040,1,40444,40444,162,162,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.192468619,0.901960784,10,S-M,1
70,HD,8,8,KY,0,5,B,40606,40611,40451,NA,899,34,5,0.642,40294,40409,8,4,40295,C,Other,2,PUBLIC,1,6,8,669,E,0.17,0,East Coast,EXISTING,53,57,899,2,40309,40428,297,178,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.07922272,0.929824561,4,M-L,1
71,SG,8,8,OR,0,8,A,40606,40613,40452,NA,2048,16,6,0.246,40238,40410,7,8,40228,B,Pacific Northwest,7,PUBLIC,1,6,8,495,J,0.154,0,Science,EXISTING,65,73,2048,1,40440,40440,166,166,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,S,1,0.131313131,0.890410959,8,S-M,1
72,HD,NA,NA,IL,0,3,A,40607,40609,40460,NA,1066,88,3,0.765,40288,40413,4,11,40206,A,Other,5,PUBLIC,1,6,8,586,Q,0.226,0,East Coast,EXISTING,115,126,1066,1,40422,40422,185,185,Undefined,Undefined,Undefined->Undefined,March,Middle,Middle,Middle->Middle,H,0,0.196245734,0.912698413,11,M-L,1
73,HD,NA,NA,LA,0,4,A,40607,40610,40452,NA,1400,17,5,0.739,40234,40406,5,2,40232,,Other,5,Catholic,1,PK,7,900,L,0.044,0,East Coast,EXISTING,23,25,1400,1,40421,40421,186,186,Undefined,Undefined,Undefined->Undefined,March,PK,Middle,PK->Middle,H,0,0.025555556,0.92,2,L,1
74,HD,8,8,NE,0,4,A,40607,40611,40483,NA,1319,16,3,0.485,40262,40262,9,5,40263,B,Other,10,PUBLIC,1,6,8,835,I,0.152,0,East Coast,NEW,33,38,1319,2,40317,40429,290,178,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.039520958,0.868421053,5,L,1
75,HC,8,8,TX,0,5,A,40608,40612,40483,NA,1924,20,11,0.741,40220,40413,14,3,40219,C,Dallas,10,PUBLIC,1,6,8,996,K,0.185,0,East Coast,EXISTING,27,30,1924,1,40435,40435,173,173,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1,0.027108434,0.9,3,L,1
76,HD,8,8,MA,0,5,B,40608,40612,40473,NA,849,46,18,0.455,40280,40441,21,8,40276,B,Other,8,PUBLIC,1,9,12,497,N,0.168,0,East Coast,NEW,101,109,849,1,40458,40458,150,150,Middle,Middle,Middle->Middle,March,High,High,High->High,H,1,0.203219316,0.926605505,8,S-M,1
77,HD,8,8,MS,0,5,B,40608,40613,40483,SA,1268,1,0,0.031,40260,40423,0,3,40256,,Other,10,CHD,1,PK,12,310,B,0,0,East Coast,EXISTING,32,35,1268,1,40451,40451,157,157,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.103225806,0.914285714,3,S,1
