ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
63,1.51,Good,E,SI1,EX,EX,GIA,12487
64,1.21,Signature-Ideal,E,VS1,EX,EX,GIA,12111
65,1.02,Very Good,D,SI1,G,VG,GIA,6001
66,0.75,Very Good,F,SI1,VG,VG,GIA,2734
67,0.78,Very Good,I,VS1,VG,VG,GIA,2694
68,2.02,Ideal,E,VS1,VG,G,GIA,32060
69,0.9,Good,E,SI1,VG,G,GIA,4147
70,1.01,Ideal,F,VS1,EX,EX,GIA,8860
71,1.02,Ideal,G,VS2,EX,EX,GIA,6264
72,1.14,Very Good,H,VS2,VG,G,GIA,5640
73,1.5,Very Good,G,SI1,VG,VG,GIA,10019
74,1.3,Very Good,H,SI1,VG,G,GIA,7018
75,1.01,Very Good,D,IF,VG,VG,GIA,18187
76,2.17,Ideal,G,VS1,EX,EX,GIA,30156
77,0.9,Ideal,G,SI1,EX,EX,GIA,4260
78,1,Good,H,SI1,VG,VG,GIA,4864
79,2.24,Ideal,E,VS1,EX,EX,GIA,40445
80,1.59,Ideal,H,VS1,EX,EX,GIA,13839
81,1.02,Ideal,H,VS1,VG,VG,GIA,5835
82,1.02,Very Good,H,SI1,VG,VG,GIA,4932
83,2.1,Signature-Ideal,F,SI1,ID,ID,AGSL,26278
84,0.91,Fair,F,SI1,VG,G,GIA,4036
85,1.62,Very Good,F,SI1,EX,VG,GIA,12202
86,1.1,Ideal,H,VS2,VG,VG,GIA,6387
87,0.91,Very Good,F,SI1,VG,EX,GIA,4188
88,1.2,Good,I,VS1,VG,VG,GIA,5818
89,0.9,Very Good,E,SI1,EX,EX,GIA,4442
90,1.04,Very Good,F,SI1,G,EX,GIA,5369
91,1.66,Ideal,H,VS1,EX,EX,GIA,13330
92,0.77,Very Good,D,VS1,EX,EX,GIA,3643
93,1.63,Very Good,I,SI1,G,G,GIA,9199
94,1.32,Ideal,E,SI1,VG,VG,GIA,8014
95,1.71,Very Good,F,VS1,VG,VG,GIA,17768
96,1.02,Ideal,E,SI1,VG,VG,GIA,5590
97,1.04,Ideal,G,VS2,EX,EX,GIA,6809
98,1.01,Ideal,F,VS2,EX,EX,GIA,7411
99,1.2,Very Good,E,VS2,VG,EX,GIA,9320
100,2,Good,I,VS2,VG,VG,GIA,15438
101,1.01,Very Good,I,SI1,EX,EX,GIA,4133
102,1,Very Good,E,VVS2,EX,VG,GIA,8638
103,0.9,Ideal,I,SI1,VG,VG,GIA,3455
104,1.38,Ideal,G,VVS1,EX,VG,GIA,12684
105,1,Very Good,I,VS2,EX,VG,GIA,4739
106,1.13,Very Good,F,VVS2,VG,VG,GIA,9947
107,0.79,Ideal,I,VS1,EX,EX,GIA,2888
108,1.54,Ideal,I,VS2,ID,ID,AGSL,9998
109,0.81,Very Good,I,SI1,VG,VG,GIA,2701
110,1.15,Ideal,F,VVS2,VG,VG,GIA,10555
111,1.51,Very Good,F,VS2,EX,VG,GIA,13324
112,1.2,Ideal,I,SI1,EX,VG,GIA,5476
113,1.1,Very Good,H,SI1,VG,G,GIA,5276
114,1.31,Very Good,I,VS1,VG,VG,GIA,6885
115,1.03,Ideal,G,VS2,EX,EX,GIA,6981
116,1.1,Very Good,I,SI1,G,EX,GIA,4545
117,1.01,Very Good,F,VVS1,EX,EX,GIA,9782
118,1.01,Very Good,E,SI1,VG,VG,GIA,5224
119,1.01,Very Good,F,VS2,EX,EX,GIA,6714
120,1.57,Ideal,G,VS2,EX,EX,GIA,14283
121,1.01,Good,H,SI1,EX,EX,GIA,4563
122,1,Ideal,E,VS2,EX,EX,GIA,7370
123,1.21,Very Good,D,SI1,VG,EX,GIA,7597
124,0.93,Very Good,E,VS2,G,VG,GIA,5140
125,1.78,Very Good,D,VS2,VG,G,GIA,16697
126,2.25,Ideal,E,VS2,EX,EX,GIA,32691
127,0.93,Very Good,D,VS1,VG,VG,GIA,5862
128,0.9,Very Good,H,VS2,G,G,GIA,4064
129,1.01,Very Good,H,SI1,EX,VG,GIA,4682
130,1.14,Good,H,SI1,VG,VG,GIA,5487
131,1.05,Very Good,G,VS1,EX,VG,GIA,7010
132,1.6,Ideal,G,VS2,ID,ID,AGSL,15000
133,1.01,Good,E,SI1,VG,VG,GIA,4989
134,1.01,Fair,D,SI1,EX,G,GIA,5122
135,0.75,Very Good,F,VVS2,G,G,GIA,3551
136,1.01,Very Good,D,SI1,VG,VG,GIA,5731
137,2.03,Very Good,I,SI1,VG,EX,GIA,15101
138,0.83,Good,E,SI1,EX,VG,GIA,3422
139,1.02,Very Good,E,VS2,VG,VG,GIA,6366
140,2.12,Ideal,H,VS2,ID,ID,AGSL,21846
141,2.04,Ideal,I,SI1,EX,EX,GIA,16718
142,0.75,Ideal,I,VVS2,ID,ID,AGSL,2782
143,2.17,Ideal,F,SI1,VG,EX,GIA,22930
144,1,Fair,F,VS1,EX,VG,GIA,6627
145,1,Good,E,SI1,VG,EX,GIA,5408
146,1.26,Very Good,F,VS1,EX,EX,GIA,11255
147,1.31,Ideal,I,VS1,EX,EX,GIA,7751
148,1.51,Very Good,G,VS2,VG,VG,GIA,11923
149,1.02,Very Good,D,SI1,G,VG,GIA,5839
150,1.01,Ideal,E,VVS2,VG,VG,GIA,10503
151,0.91,Ideal,I,VS1,ID,ID,AGSL,4374
152,0.79,Ideal,I,VS2,VG,EX,GIA,2712
153,0.79,Good,E,SI1,VG,VG,GIA,2548
154,1.02,Very Good,E,SI1,VG,VG,GIA,5667
155,2.02,Very Good,F,SI1,VG,VG,GIA,17658
156,1.06,Ideal,I,SI1,EX,EX,GIA,4745
157,1.01,Very Good,F,VVS2,VG,G,GIA,7835
158,0.9,Very Good,D,VS2,G,VG,GIA,4729
159,2.15,Very Good,G,VS1,EX,EX,GIA,27558
160,2.2,Very Good,F,VS2,EX,EX,GIA,27535
161,1.22,Ideal,F,VS1,EX,EX,GIA,10422
162,1,Fair,E,VVS2,VG,G,GIA,7553
163,0.8,Very Good,H,SI1,EX,G,GIA,2670
164,2.19,Very Good,F,VS2,VG,VG,GIA,29635
165,1.32,Ideal,D,VVS2,EX,EX,GIA,16099
166,1.51,Good,F,SI1,G,G,GIA,11056
167,1.01,Good,E,SI1,VG,VG,GIA,5233
168,2.74,Ideal,I,SI1,ID,ID,AGSL,24089
169,1.02,Very Good,F,VVS1,VG,VG,GIA,8800
170,2.04,Ideal,E,SI1,ID,ID,AGSL,20045
171,1.02,Ideal,G,VS1,EX,VG,GIA,7038
172,1.02,Very Good,G,VVS2,VG,EX,GIA,8252
173,2.08,Ideal,H,SI1,EX,EX,GIA,18760
174,1.02,Very Good,F,VVS2,EX,VG,GIA,9246
175,1.06,Ideal,G,SI1,VG,VG,GIA,5870
176,1.5,Very Good,F,VS2,VG,VG,GIA,12751
177,1.57,Very Good,F,VVS1,EX,EX,GIA,21167
178,2.34,Very Good,D,VVS2,VG,VG,GIA,57208
179,1.2,Ideal,I,VS2,EX,EX,GIA,6303
180,1.01,Very Good,D,SI1,VG,VG,GIA,5619
181,1.32,Ideal,G,VS1,ID,ID,AGSL,11079
182,1.15,Very Good,H,VS2,G,G,GIA,5831
183,0.91,Very Good,D,SI1,VG,G,GIA,4585
184,1.14,Ideal,I,SI1,VG,VG,GIA,4894
185,1.13,Ideal,H,VVS2,EX,EX,GIA,7385
186,2.08,Ideal,E,VS2,EX,EX,GIA,32149
187,0.9,Good,E,VVS1,EX,VG,GIA,7214
188,0.75,Ideal,H,SI1,VG,VG,GIA,2501
189,2.66,Ideal,D,FL,EX,EX,GIA,96493
190,1.56,Ideal,G,VS2,EX,EX,GIA,13543
191,1.02,Very Good,G,VVS2,G,VG,GIA,8013
192,1.02,Ideal,F,SI1,VG,EX,GIA,5795
193,1.53,Very Good,G,VS1,VG,G,GIA,15008
194,1.07,Very Good,F,IF,G,G,GIA,11019
195,1.2,Very Good,G,SI1,VG,VG,GIA,6076
196,0.9,Fair,F,SI1,VG,VG,GIA,3842
197,1.23,Ideal,D,VVS2,EX,EX,GIA,13274
198,1.01,Ideal,D,VVS2,ID,ID,AGSL,11442
199,1.06,Signature-Ideal,F,VVS2,EX,EX,GIA,10927
200,1.04,Ideal,G,VS2,EX,EX,GIA,6769
201,1.51,Ideal,G,VS2,VG,EX,GIA,12947
202,1.22,Very Good,H,SI1,G,VG,GIA,6350
203,0.9,Very Good,E,SI1,VG,G,GIA,4265
204,1.02,Ideal,F,VS2,EX,VG,GIA,6622
205,0.8,Very Good,H,VS1,VG,VG,GIA,3144
206,1.57,Ideal,E,VS2,EX,EX,GIA,17548
207,2.08,Very Good,F,VS2,VG,G,GIA,30210
208,0.9,Very Good,F,VS1,VG,VG,GIA,4671
209,1.5,Ideal,H,VS1,ID,ID,AGSL,12055
210,2.01,Very Good,H,SI1,VG,G,GIA,18149
211,1.28,Ideal,G,SI1,EX,EX,GIA,7415
212,1.52,Very Good,H,VS1,VG,VG,GIA,12877
213,1,Good,H,SI1,VG,VG,GIA,4702
214,2.37,Ideal,H,VS2,EX,VG,GIA,28063
215,2.02,Good,E,VS1,EX,VG,GIA,29334
216,1.21,Ideal,F,VS1,ID,ID,AGSL,11045
217,1.54,Good,H,VS1,EX,VG,GIA,10669
218,1.5,Very Good,H,VS2,VG,G,GIA,9706
219,0.78,Very Good,E,VVS1,EX,VG,GIA,4904
220,2.2,Very Good,I,VS1,EX,EX,AGSL,19671
221,1.14,Ideal,G,IF,EX,EX,GIA,9948
222,1.33,Ideal,G,VVS2,EX,EX,GIA,12345
223,1.04,Ideal,D,VVS2,EX,EX,GIA,11367
224,2,Very Good,I,SI1,VG,G,GIA,15381
225,0.9,Very Good,D,VVS2,EX,VG,GIA,5423
226,1.51,Fair,G,SI1,G,VG,GIA,8681
227,1.23,Very Good,G,VVS1,EX,EX,GIA,10477
228,1.53,Ideal,I,SI1,VG,VG,GIA,8971
229,1.04,Very Good,F,SI1,G,VG,GIA,5290
230,1.2,Very Good,H,SI1,EX,G,GIA,5630
231,2.13,Ideal,D,IF,ID,ID,AGSL,70114
232,0.9,Good,H,VS1,VG,VG,GIA,4072
233,1.09,Ideal,E,VS2,EX,EX,GIA,7978
234,1.27,Ideal,F,VVS1,VG,VG,GIA,13279
235,1.01,Good,G,SI1,VG,G,GIA,4884
236,1.13,Very Good,G,VVS2,VG,VG,GIA,9788
237,1.01,Very Good,I,VS1,EX,EX,GIA,5041
238,2.21,Ideal,G,VS2,EX,EX,GIA,30440
239,2.03,Ideal,I,VVS1,ID,ID,AGSL,21437
240,2.01,Very Good,I,VS2,VG,VG,GIA,15675
241,2.13,Very Good,H,SI1,VG,VG,GIA,17601
242,1.5,Good,F,SI1,G,G,GIA,10755
243,1.27,Ideal,I,VS1,G,VG,GIA,6396
244,1.07,Ideal,F,IF,EX,VG,GIA,11327
245,2.14,Good,G,SI1,VG,G,GIA,20853
246,1.01,Very Good,H,SI1,EX,EX,AGSL,4727
247,1,Ideal,F,SI1,VG,EX,GIA,5312
248,1.52,Very Good,E,SI1,EX,EX,GIA,12275
249,1.19,Ideal,G,VS1,ID,ID,AGSL,8034
250,1.03,Ideal,F,VS1,ID,ID,AGSL,7856
251,1.01,Good,F,SI1,EX,VG,GIA,5078
252,0.9,Very Good,D,SI1,G,G,GIA,4105
253,2.02,Ideal,H,VS1,VG,VG,GIA,20885
254,1.22,Very Good,G,VS2,VG,EX,GIA,8340
255,1.13,Ideal,G,SI1,EX,VG,GIA,5759
256,1.01,Ideal,F,SI1,EX,EX,GIA,5870
257,1.04,Ideal,G,VS2,EX,EX,GIA,7044
258,0.76,Very Good,H,IF,EX,EX,GIA,3367
259,0.93,Ideal,I,SI1,EX,EX,GIA,3772
260,0.9,Ideal,H,VS2,VG,VG,GIA,4369
261,1.22,Very Good,G,VVS2,EX,EX,GIA,9919
262,1.16,Very Good,D,SI1,EX,EX,GIA,5695
263,2.5,Very Good,I,VS2,VG,G,GIA,20894
264,1.71,Good,I,VS2,G,G,GIA,11250
265,1.29,Ideal,H,SI1,ID,ID,AGSL,7036
266,1.03,Ideal,G,VS1,ID,ID,AGSL,6913
267,0.9,Ideal,D,SI1,EX,EX,GIA,5656
268,2.32,Very Good,E,VVS2,G,EX,GIA,47800
269,1.51,Good,I,VS2,VG,G,GIA,8951
270,2.01,Good,E,VVS2,EX,G,GIA,34255
271,1,Very Good,F,SI1,EX,VG,GIA,5528
272,1.29,Ideal,G,VS2,EX,VG,AGSL,8858
273,2.23,Ideal,H,VVS1,EX,EX,GIA,28811
274,1.2,Very Good,F,VS1,VG,VG,GIA,9574
275,0.78,Ideal,H,SI1,VG,EX,GIA,2622
276,1,Fair,H,SI1,G,VG,GIA,4269
277,0.92,Very Good,E,VS2,EX,EX,GIA,5044
278,1.05,Good,H,SI1,G,G,GIA,4785
279,1.1,Very Good,H,SI1,VG,EX,GIA,4938
280,1.23,Very Good,G,VVS1,G,VG,GIA,10435
281,0.76,Good,G,VS1,VG,G,AGSL,3121
282,1.21,Ideal,I,VS1,ID,ID,AGSL,7111
283,2.01,Ideal,H,VS2,ID,ID,AGSL,20296
284,1.02,Very Good,E,VS2,VG,G,GIA,6612
285,1.04,Good,G,SI1,G,G,GIA,4768
286,0.76,Ideal,G,VS2,EX,EX,GIA,3114
287,1.01,Ideal,F,VS1,VG,VG,GIA,7870
288,1.51,Ideal,D,SI1,EX,EX,GIA,13588
289,1.22,Ideal,F,VVS2,VG,EX,GIA,10409
290,2.02,Very Good,E,VS2,VG,EX,GIA,28739
291,1.09,Ideal,G,VS1,EX,EX,GIA,7992
292,0.91,Very Good,D,VS2,VG,VG,GIA,5134
293,1,Fair,E,VS2,VG,G,GIA,6268
294,0.9,Very Good,I,VS2,G,G,GIA,3709
295,1.32,Very Good,I,VS1,VG,VG,GIA,6793
296,2.01,Good,H,VS2,G,G,GIA,18341
297,1.01,Ideal,I,SI1,VG,VG,GIA,5020
298,1.09,Signature-Ideal,G,VS2,ID,ID,AGSL,7709
299,1,Very Good,E,SI1,VG,VG,GIA,5247
300,0.91,Very Good,H,VVS2,VG,VG,GIA,4143
301,1.55,Signature-Ideal,I,VS2,ID,ID,AGSL,11574
302,1.25,Ideal,G,VVS2,ID,ID,AGSL,10983
303,1.03,Ideal,G,VVS2,EX,EX,GIA,8277
304,0.77,Ideal,D,SI1,ID,ID,AGSL,3345
305,2.01,Ideal,H,SI1,EX,VG,GIA,18252
306,0.78,Ideal,H,VVS2,EX,EX,GIA,3581
307,1.5,Signature-Ideal,G,VVS2,ID,ID,AGSL,17176
308,1.7,Very Good,H,SI1,VG,VG,GIA,11560
309,1.15,Ideal,H,SI1,VG,VG,GIA,5529
310,0.84,Ideal,I,VS1,EX,EX,GIA,2898
311,1.07,Very Good,H,VS2,G,G,GIA,5586
312,1.5,Ideal,E,VS2,ID,ID,AGSL,14618
313,1,Very Good,G,VVS1,EX,G,GIA,7872
314,1.01,Good,F,VS2,G,VG,GIA,5700
315,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079
316,1.28,Ideal,F,VS1,EX,EX,GIA,12061
317,0.91,Very Good,G,VVS1,EX,EX,GIA,4680
318,1.22,Ideal,F,VS2,VG,VG,GIA,8418
319,0.91,Very Good,H,SI1,EX,VG,GIA,3998
320,1.01,Very Good,H,VS2,ID,ID,AGSL,5393
321,1.06,Signature-Ideal,G,VS1,ID,ID,AGSL,8093
322,1.26,Ideal,F,VS2,EX,EX,GIA,10709
323,0.9,Very Good,E,VS2,VG,EX,GIA,4920
324,0.92,Signature-Ideal,I,SI1,ID,ID,AGSL,4457
325,2.01,Very Good,G,VS1,EX,EX,GIA,24784
326,1,Very Good,G,VVS2,EX,EX,GIA,7215
327,1.5,Ideal,H,VVS2,ID,ID,AGSL,12187
328,1.2,Very Good,H,SI1,VG,VG,GIA,6377
329,2.03,Ideal,F,VS2,EX,EX,GIA,31773
330,2.07,Very Good,I,VS2,VG,EX,GIA,16378
331,1.01,Very Good,F,VS1,VG,VG,GIA,6914
332,0.79,Very Good,E,VVS2,VG,VG,GIA,4585
333,1.7,Good,G,VS2,VG,G,GIA,15087
334,0.83,Very Good,H,VS2,G,EX,GIA,3276
335,1.09,Ideal,G,VS2,EX,EX,GIA,7227
336,0.9,Good,H,SI1,G,VG,GIA,3238
337,0.9,Good,D,VS2,VG,G,GIA,4508
338,1.33,Ideal,I,VS2,ID,ID,AGSL,7752
339,1.51,Ideal,G,VS2,VG,EX,GIA,12913
340,1,Very Good,H,SI1,EX,EX,GIA,5021
341,2.02,Good,H,VS1,EX,EX,GIA,19829
342,0.81,Very Good,E,SI1,VG,G,GIA,3643
343,1.03,Ideal,D,VS1,EX,EX,GIA,9192
344,0.75,Ideal,E,SI1,G,VG,GIA,3049
345,1.06,Good,H,SI1,VG,VG,GIA,4828
346,0.86,Ideal,F,VS2,EX,EX,GIA,4398
347,0.91,Fair,F,SI1,G,G,GIA,3884
348,1.01,Good,F,SI1,EX,VG,GIA,5107
349,2.09,Ideal,H,VS1,EX,EX,GIA,23602
350,1.23,Very Good,F,VVS2,G,EX,GIA,11110
351,1.35,Very Good,H,VVS2,EX,ID,AGSL,8644
352,1.25,Ideal,E,VVS2,ID,ID,AGSL,12981
353,2.02,Very Good,G,SI1,VG,EX,GIA,19442
354,1.01,Very Good,D,SI1,VG,G,GIA,5670
355,1.52,Ideal,H,SI1,EX,VG,GIA,10239
356,1.53,Very Good,H,SI1,G,EX,GIA,9332
357,2.01,Ideal,G,VS1,VG,VG,GIA,26659
358,1.08,Ideal,H,SI1,ID,ID,AGSL,5558
359,1.23,Ideal,I,SI1,EX,EX,GIA,6183
360,1.23,Very Good,F,VS1,G,VG,GIA,9694
361,1.02,Very Good,G,IF,VG,VG,GIA,8538
362,1.02,Very Good,F,VVS2,EX,EX,GIA,9728
363,1.13,Ideal,G,VS1,ID,ID,AGSL,7808
364,2.43,Ideal,E,SI1,EX,EX,GIA,30108
365,1.03,Signature-Ideal,D,VS1,EX,EX,GIA,10607
366,0.8,Very Good,H,VVS1,ID,ID,AGSL,3737
367,1.09,Ideal,D,VVS2,EX,EX,GIA,12185
368,1,Very Good,D,SI1,EX,VG,GIA,6040
369,1,Ideal,G,VS2,VG,VG,GIA,5887
370,1.33,Signature-Ideal,F,VVS2,EX,EX,GIA,15031
371,0.9,Very Good,G,VS2,VG,VG,GIA,4173
372,1.05,Ideal,G,VS1,ID,ID,AGSL,7317
373,1.04,Good,E,VVS2,VG,G,GIA,9038
374,1.04,Very Good,F,VS1,VG,VG,GIA,8090
375,2.01,Ideal,G,SI1,ID,ID,AGSL,20934
376,1.51,Good,I,VS2,EX,G,GIA,8939
377,0.9,Fair,D,VS1,VG,G,GIA,4958
378,1.12,Ideal,G,VS1,ID,ID,AGSL,7970
379,0.91,Very Good,F,SI1,VG,VG,GIA,3963
380,1.05,Ideal,G,VS1,EX,VG,GIA,7571
381,2.01,Ideal,E,SI1,EX,EX,GIA,23217
382,0.9,Fair,E,SI1,VG,VG,GIA,3743
383,2.3,Very Good,E,VS1,EX,EX,GIA,45752
384,0.85,Very Good,D,VS2,VG,VG,GIA,4133
385,1.25,Very Good,I,VS2,G,VG,GIA,5956
386,1.59,Ideal,I,SI1,EX,EX,GIA,9209
387,1.2,Ideal,D,VVS2,VG,EX,GIA,13165
388,1.21,Very Good,G,VVS2,EX,EX,GIA,9878
389,1.05,Very Good,D,VS2,G,G,GIA,7794
390,1.06,Ideal,G,VS1,EX,EX,GIA,7594
391,1.02,Ideal,F,VS2,EX,VG,GIA,6645
392,1.01,Very Good,E,VVS2,VG,EX,GIA,8401
393,1.01,Very Good,F,VVS1,EX,VG,GIA,10019
394,0.82,Ideal,F,VS2,ID,ID,AGSL,3913
395,1.03,Very Good,G,SI1,G,VG,GIA,4997
396,0.9,Very Good,H,SI1,EX,EX,GIA,3770
397,0.91,Very Good,I,VS2,G,VG,GIA,3633
398,1.51,Fair,I,VS1,G,G,GIA,8359
399,1.01,Good,D,SI1,VG,VG,GIA,5541
400,1.12,Ideal,G,VS1,EX,EX,GIA,8202
401,2.07,Very Good,D,VVS2,G,VG,GIA,46229
402,1.01,Fair,F,VS2,EX,G,GIA,5747
403,2.57,Ideal,G,VS1,VG,EX,GIA,40652
404,1.23,Very Good,G,VVS2,EX,VG,GIA,9803
405,2.01,Good,I,SI1,EX,G,GIA,15743
406,2.01,Good,G,IF,EX,VG,GIA,27624
407,2.05,Good,H,VS1,VG,VG,GIA,19436
408,1.55,Ideal,G,VS1,EX,EX,GIA,15070
409,2.55,Ideal,I,VS1,EX,EX,GIA,25387
410,1.01,Ideal,E,VS1,EX,VG,GIA,7458
411,0.76,Very Good,H,SI1,EX,EX,GIA,2593
412,1.01,Good,H,SI1,G,G,GIA,5197
413,0.9,Ideal,I,VS1,VG,EX,GIA,3724
414,1.01,Very Good,G,SI1,EX,EX,GIA,5231
415,2.02,Ideal,E,VS2,VG,VG,GIA,29641
416,2.15,Good,F,SI1,EX,VG,GIA,23911
417,2.01,Good,E,VS2,VG,VG,GIA,25793
418,1.8,Very Good,E,SI1,EX,G,GIA,17273
419,1.53,Ideal,D,VS2,EX,EX,GIA,17223
420,1.02,Very Good,H,SI1,VG,EX,GIA,4802
421,1.52,Very Good,G,VS2,G,VG,GIA,12596
422,1.25,Ideal,E,VS2,VG,EX,GIA,9365
423,0.9,Very Good,D,VS2,VG,EX,GIA,4981
424,2.01,Ideal,I,SI1,VG,VG,GIA,15333
425,1.06,Ideal,D,SI1,VG,VG,GIA,6062
426,0.76,Ideal,D,VS1,VG,EX,GIA,4229
427,1.01,Good,F,VS2,G,G,GIA,6081
428,2.47,Very Good,G,VVS2,VG,EX,GIA,36993
429,1.15,Ideal,E,VVS1,EX,EX,GIA,12447
430,2.11,Ideal,G,SI1,EX,EX,GIA,21262
431,1.51,Ideal,I,SI1,EX,EX,GIA,8504
432,1.08,Signature-Ideal,H,VS1,ID,ID,AGSL,7397
433,0.9,Ideal,G,VVS1,EX,VG,GIA,6237
434,2.02,Very Good,F,SI1,VG,VG,GIA,20548
435,0.9,Ideal,G,VS1,EX,EX,GIA,4931
436,1.55,Fair,G,VS2,G,G,GIA,10981
437,1.01,Very Good,G,VS1,EX,VG,GIA,6561
438,2.39,Very Good,G,VVS2,VG,G,GIA,34415
439,1.5,Good,E,VS2,EX,VG,GIA,13061
440,0.75,Signature-Ideal,H,SI1,ID,ID,AGSL,3011
441,2.27,Ideal,E,VVS2,EX,EX,GIA,47741
442,1.51,Very Good,E,SI1,EX,EX,AGSL,12064
443,2.17,Ideal,H,VVS2,EX,EX,GIA,25707
444,1.71,Very Good,I,SI1,VG,VG,GIA,10410
445,1.01,Very Good,H,VS1,VG,VG,GIA,5680
446,1.01,Good,F,SI1,G,VG,GIA,5008
447,1.51,Ideal,H,VS2,EX,EX,GIA,11696
448,1.64,Ideal,I,VS2,VG,VG,GIA,10628
449,1.62,Signature-Ideal,F,VS1,ID,ID,AGSL,19661
450,0.88,Ideal,H,VVS1,VG,VG,GIA,4334
451,0.8,Very Good,E,VS1,EX,VG,GIA,3831
452,1.08,Ideal,D,SI1,VG,VG,GIA,6078
453,1.01,Very Good,E,VS2,EX,G,GIA,6491
454,2.01,Ideal,G,VS1,ID,ID,AGSL,26026
455,0.75,Very Good,E,VS2,EX,EX,GIA,3365
456,0.91,Fair,F,SI1,VG,VG,GIA,4036
457,1,Very Good,D,SI1,EX,VG,GIA,5491
458,1.01,Good,G,VVS2,VG,VG,GIA,7566
459,1.28,Ideal,G,VS1,G,EX,GIA,9372
460,2.03,Very Good,F,VS1,VG,VG,GIA,30894
461,1.2,Very Good,F,VS1,VG,VG,GIA,8983
462,2.25,Very Good,G,VS1,VG,VG,GIA,33248
463,1.05,Ideal,H,SI1,EX,VG,GIA,4925
464,0.9,Ideal,G,VS2,EX,EX,GIA,4748
465,1.25,Ideal,F,VS2,EX,EX,GIA,9503
466,0.96,Ideal,G,VS1,EX,EX,GIA,6807
467,1.25,Ideal,I,VS2,VG,VG,GIA,6562
